Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:cooked-meats,Austria,en:austria,at,1,Yes,Categorize existing one,4099200042848,To do,
en:beers,Austria,en:austria,at,1,Yes,Categorize existing one,90031977,To do,
en:light-beers,Austria,en:austria,at,1,Yes,Categorize existing one,,To do,
en:wheat-beers,Austria,en:austria,at,1,Yes,Categorize existing one,4072700001126,To do,
en:soy-based-drinks,Austria,en:austria,at,1,Yes,Categorize existing one,5411188115472,To do,
xx:tofu,Austria,en:austria,at,1,Yes,Categorize existing one,4066447506235,To do,
en:butters,Austria,en:austria,at,1,Yes,Categorize existing one,8719200252776,To do,
en:margarines,Austria,en:austria,at,1,Yes,Categorize existing one,8719200205147,To do,
en:camomile-teas,Austria,en:austria,at,1,Yes,Categorize existing one,,To do,
en:herbal-tea-blends,Austria,en:austria,at,1,Yes,Categorize existing one,4012824404243,To do,
en:herbal-teas,Austria,en:austria,at,1,Yes,Categorize existing one,4056489023760,To do,
en:fennel,Austria,en:austria,at,1,Yes,Categorize existing one,9001414015162,To do,
en:fermented-teas,Austria,en:austria,at,1,Yes,Categorize existing one,,To do,
en:fruit-teas,Austria,en:austria,at,1,Yes,Categorize existing one,4056489023760,To do,
en:herbal-teas,Austria,en:austria,at,1,Yes,Categorize existing one,4056489023760,To do,
en:herbal-teas,Austria,en:austria,at,1,Yes,Categorize existing one,4056489023760,To do,
en:mint-teas,Austria,en:austria,at,1,Yes,Categorize existing one,,To do,
en:teas,Austria,en:austria,at,1,Yes,Categorize existing one,70177011598,To do,
en:potato-fries,Austria,en:austria,at,1,Yes,Categorize existing one,8710438094213,To do,
en:meals-with-meat,Austria,en:austria,at,1,Yes,Categorize existing one,4099200121574,To do,
en:canned-diced-mixed-vegetables,Austria,en:austria,at,1,Yes,Categorize existing one,,To do,
en:stuffed-pastas,Austria,en:austria,at,1,Yes,Categorize existing one,4061459474039,To do,
en:pizzas,Austria,en:austria,at,1,Yes,Categorize existing one,4001724038993,To do,
en:vegetable-salads,Austria,en:austria,at,1,Yes,Categorize existing one,4061461665838,To do,
en:reheatable-mixed-vegetables-soup,Austria,en:austria,at,1,Yes,Categorize existing one,4061298298353,To do,
