Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:non-alcoholic-beers,Belgium,en:belgium,be,1,Yes,Categorize existing one,4101010011508,To do,
en:industrial-beer,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410228214939,To do,
en:dark-ales,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410228141167,To do,
en:lagers,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411681014005,To do,
en:pale-ales,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411681401164,To do,
en:soy-based-drinks,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411188115472,To do,
en:frying-oil,Belgium,en:belgium,be,1,Maybe,Categorize existing one,5400141345186,To do,
en:margarines,Belgium,en:belgium,be,1,Yes,Categorize existing one,8719200265608,To do,
en:butters,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411396000164,To do,
en:margarines,Belgium,en:belgium,be,1,Yes,Categorize existing one,8719200265608,To do,
en:fermented-teas,Belgium,en:belgium,be,1,Yes,Categorize existing one,5407005240090,To do,
en:herbal-teas,Belgium,en:belgium,be,1,Yes,Categorize existing one,3057640508813,To do,
en:herbal-teas,Belgium,en:belgium,be,1,Yes,Categorize existing one,3057640508813,To do,
en:flavored-teas,Belgium,en:belgium,be,1,Yes,Categorize existing one,27005378,To do,
en:frozen-deep-fried-french-fries,Belgium,en:belgium,be,1,Yes,Categorize existing one,,To do,
en:cooked-unsalted-dried-pasta,Belgium,en:belgium,be,1,Yes,Categorize existing one,5430000021753,To do,
en:pizzas,Belgium,en:belgium,be,1,Yes,Categorize existing one,8001240101016,To do,
en:mashed-potatoes,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400113678519,To do,
en:wraps,Belgium,en:belgium,be,1,Yes,Categorize existing one,5412514936914,To do,
en:potato-crisps,Belgium,en:belgium,be,1,Yes,Categorize existing one,8710398160829,To do,
en:vegetable-salads,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400112351321,To do,
en:reheatable-mixed-vegetables-soup,Belgium,en:belgium,be,1,Yes,Categorize existing one,8710522617038,To do,
en:salads-with-meat,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411153008389,To do,
en:salads-with-fish,Belgium,en:belgium,be,1,Yes,Categorize existing one,8004030022010,To do,
en:prepared-salads,Belgium,en:belgium,be,1,Yes,Categorize existing one,8004030022010,To do,
en:canned-tunas,Belgium,en:belgium,be,1,Yes,Categorize existing one,4056489254683,To do,
en:smoked-salmons,Belgium,en:belgium,be,1,Yes,Categorize existing one,4056489452676,To do,
en:apple-compotes,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400111093697,To do,
en:strawberry-jams,Belgium,en:belgium,be,1,Yes,Categorize existing one,8719200174108,To do,
en:apple-juices,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400141616231,To do,
en:multifruit-juices,Belgium,en:belgium,be,1,Yes,Categorize existing one,5449000319333,To do,
en:orange-juices,Belgium,en:belgium,be,1,Yes,Categorize existing one,54008304,To do,
en:breads,Belgium,en:belgium,be,1,Yes,Categorize existing one,7300400481700,To do,
en:Pains multicéréales,Belgium,en:belgium,be,0,Yes,Categorize existing one,,To do,
en:cooked-pizza-base,Belgium,en:belgium,be,1,Yes,Categorize existing one,,To do,
en:wholemeal-breads,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410724600113,To do,
en:wholemeal-sliced-breads,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410724600113,To do,
en:breads,Belgium,en:belgium,be,1,Yes,Categorize existing one,7300400481700,To do,
en:whole-wheat-english-muffins,Belgium,en:belgium,be,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Belgium,en:belgium,be,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Belgium,en:belgium,be,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Belgium,en:belgium,be,1,Yes,Categorize existing one,,To do,
en:wheat-breads,Belgium,en:belgium,be,1,Yes,Categorize existing one,5412514935559,To do,
en:breads,Belgium,en:belgium,be,1,Yes,Categorize existing one,7300400481700,To do,
en:cereal-flakes,Belgium,en:belgium,be,1,Yes,Categorize existing one,8710100426588,To do,
en:puffed-cereals,Belgium,en:belgium,be,1,Yes,Categorize existing one,5059319023533,To do,
en:chocolate-biscuits,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410041014600,To do,
en:brioches,Belgium,en:belgium,be,1,Yes,Categorize existing one,3256549999542,To do,
en:chocolate-cakes,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410063033078,To do,
en:fruit-tarts,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400101210264,To do,
en:shortcrust-pastry,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400112128800,To do,
en:sponge-cakes,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410041134803,To do,
en:waffles,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410041014600,To do,
en:dry-pastas,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410028050126,To do,
en:canned-common-beans,Belgium,en:belgium,be,1,Yes,Categorize existing one,3083681012606,To do,
en:bacon,Belgium,en:belgium,be,1,Maybe,Categorize existing one,5400112526453,To do,
en:hams,Belgium,en:belgium,be,1,Yes,Categorize existing one,3154230808992,To do,
en:chipolatas,Belgium,en:belgium,be,1,Yes,Categorize existing one,5414880002590,To do,
en:salami,Belgium,en:belgium,be,1,Yes,Categorize existing one,3449851328005,To do,
en:emmentaler,Belgium,en:belgium,be,1,Maybe,Categorize existing one,3123930711758,To do,
en:gouda,Belgium,en:belgium,be,1,Maybe,Categorize existing one,20047573,To do,
en:firm-cheese-around-27-fat-maasdam-type-cheese,Belgium,en:belgium,be,1,Maybe,Categorize existing one,,To do,
en:mozzarella,Belgium,en:belgium,be,1,Maybe,Categorize existing one,8000430133035,To do,
en:processed-cheeses,Belgium,en:belgium,be,1,Maybe,Categorize existing one,3073781135879,To do,
en:quarks,Belgium,en:belgium,be,1,Maybe,Categorize existing one,5400141571745,To do,
en:ice-creams,Belgium,en:belgium,be,1,Yes,Categorize existing one,8711327608665,To do,
en:creamy-puddings,Belgium,en:belgium,be,1,Yes,Categorize existing one,4056489216162,To do,
en:flavoured-yogurts,Belgium,en:belgium,be,1,Yes,Categorize existing one,3033491993176,To do,
en:plain-cow-milk-yogurts,Belgium,en:belgium,be,1,Maybe,Categorize existing one,,To do,
en:flavoured-milks,Belgium,en:belgium,be,1,Yes,Categorize existing one,5414150631147,To do,
en:multivitamin-and-mineral-supplements,Belgium,en:belgium,be,1,Yes,Categorize existing one,8723300710746,To do,
en:soy-based-drinks,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411188115472,To do,
en:soy-milk-yogurts,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411188099154,To do,
en:mayonnaises,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410056195349,To do,
en:mustard-sauces,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400111008158,To do,
en:mustards,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410641100000,To do,
en:salad-dressings,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410093143563,To do,
en:ketchup,Belgium,en:belgium,be,1,Yes,Categorize existing one,87157239,To do,
en:tomato-sauces,Belgium,en:belgium,be,1,Yes,Categorize existing one,8076809513722,To do,
en:bouillon-cubes,Belgium,en:belgium,be,1,Yes,Categorize existing one,8710604722193,To do,
en:chocolate-spreads,Belgium,en:belgium,be,1,Yes,Categorize existing one,8000500082379,To do,
en:pickles,Belgium,en:belgium,be,1,Yes,Categorize existing one,5400141352962,To do,
en:pickled-cucumbers,Belgium,en:belgium,be,1,Yes,Categorize existing one,4012200401149,To do,
en:pickled-gherkins,Belgium,en:belgium,be,1,Yes,Categorize existing one,8712566246496,To do,
en:pickled-gherkins,Belgium,en:belgium,be,1,Yes,Categorize existing one,8712566246496,To do,
en:canned-tomatoes,Belgium,en:belgium,be,1,Yes,Categorize existing one,8001240061914,To do,
en:tomato-pastes,Belgium,en:belgium,be,1,Yes,Categorize existing one,8005110005404,To do,
en:colas,Belgium,en:belgium,be,1,Yes,Categorize existing one,5000112638745,To do,
en:diet-cola-soft-drink,Belgium,en:belgium,be,1,Yes,Categorize existing one,5000112638745,To do,
en:diet-beverages,Belgium,en:belgium,be,1,Yes,Categorize existing one,5000112638745,To do,
en:energy-drinks,Belgium,en:belgium,be,1,Yes,Categorize existing one,90162909,To do,
en:carbonated-fruit-soft-drink,Belgium,en:belgium,be,1,Yes,Categorize existing one,5000112638783,To do,
en:beverages-with-orange,Belgium,en:belgium,be,1,Yes,Categorize existing one,8002270506802,To do,
en:carbonated-soft-drinks-without-fruit-juice,Belgium,en:belgium,be,1,Yes,Categorize existing one,5449000131843,To do,
en:lemon-soft-drinks,Belgium,en:belgium,be,1,Yes,Categorize existing one,8002270936777,To do,
