Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,3800052314110,To do,
en:margarines,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,4056489135760,To do,
en:butters,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,4000650011162,To do,
en:apple-compotes,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,9008684031489,To do,
en:jams,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,20000660,To do,
en:fruit-and-vegetable-juices,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,4337185010040,To do,
en:vegetable-juices,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,4335619142527,To do,
en:bread-crumbs,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,7622202015007,To do,
en:wheat-breads,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,4056489018636,To do,
en:breads,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,3800082900567,To do,
en:Sablés au beurre,Bulgaria,en:bulgaria,bg,0,Yes,Categorize existing one,,To do,
en:bacon,Bulgaria,en:bulgaria,bg,1,Maybe,Categorize existing one,20683900,To do,
en:salami,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,20947002,To do,
en:sausages,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,20947002,To do,
en:firm-cheese-around-27-fat-maasdam-type-cheese,Bulgaria,en:bulgaria,bg,1,Maybe,Categorize existing one,,To do,
en:soft-cheeses,Bulgaria,en:bulgaria,bg,1,Maybe,Categorize existing one,20096847,To do,
en:vinegars,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,3800111804262,To do,
en:white-chocolates,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,4823077626364,To do,
en:pickled-vegetables,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,20484804,To do,
en:colas,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,5449000000286,To do,
