Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:industrial-beer,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:soy-based-drinks,Croatia,en:croatia,hr,1,Yes,Categorize existing one,20230524,To do,
en:butters,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3850355000999,To do,
en:camomile-teas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:fruit-teas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4009300008170,To do,
en:herbal-teas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489228516,To do,
en:herbal-teas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489228516,To do,
en:mint-teas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:bean-dishes,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:meals-with-shellfish,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3850104020087,To do,
en:stews,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:mashed-potatoes,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:vegetables-based-foods,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3850104053221,To do,
en:potato-crisps,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3856021300646,To do,
en:vegetable-salads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:reheatable-mixed-vegetables-soup,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:canned-tunas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,8004030345775,To do,
en:plum-jams,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3859893027956,To do,
en:lemon-juice,Croatia,en:croatia,hr,1,Yes,Categorize existing one,8016438001016,To do,
en:orange-juices,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3850322014981,To do,
en:bread-crumbs,Croatia,en:croatia,hr,1,Yes,Categorize existing one,858051520011,To do,
en:breadsticks,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:frozen-pre-baked-pitas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:pitas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489018636,To do,
en:wholemeal-breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,20051426,To do,
en:wholemeal-sliced-breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,20051426,To do,
en:whole-wheat-english-muffins,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489018636,To do,
en:wholemeal-breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,20051426,To do,
en:breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489018636,To do,
en:wheat-breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489018636,To do,
en:breads-with-corn,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:porridge,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3856020264789,To do,
en:cooked-oat-flakes,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:strudels,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3859891902804,To do,
en:apple-cakes,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:apple-cakes,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:filled-biscuits,Croatia,en:croatia,hr,1,Yes,Categorize existing one,8410376051384,To do,
en:special-breads,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4000446011376,To do,
en:hamburger-buns,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4022993046076,To do,
en:chocolate-cakes,Croatia,en:croatia,hr,1,Yes,Categorize existing one,7312930010886,To do,
en:strudels,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3859891902804,To do,
en:doughnuts,Croatia,en:croatia,hr,1,Yes,Categorize existing one,2921080000019,To do,
en:pancakes,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:wafers,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3850102326150,To do,
en:dry-egg-pastas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,8076800376999,To do,
en:phyllo-dough,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:bacon,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,4063367013003,To do,
en:hams,Croatia,en:croatia,hr,1,Yes,Categorize existing one,20493271,To do,
en:Mortadella Bologna,Croatia,en:croatia,hr,0,Yes,Categorize existing one,,To do,
en:Csabai kolbász,Croatia,en:croatia,hr,0,Yes,Categorize existing one,,To do,
en:edam,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,,To do,
en:gouda,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,3856021207242,To do,
en:cottage-cheeses,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,20628130,To do,
en:cream-cheeses,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,3859888858336,To do,
en:ice-creams,Croatia,en:croatia,hr,1,Yes,Categorize existing one,40145389,To do,
en:kefir,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,3850334388162,To do,
en:sour-creams,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,3850108036480,To do,
en:plain-cow-milk-yogurts,Croatia,en:croatia,hr,1,Maybe,Categorize existing one,,To do,
en:vitamin-supplements,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4058172921971,To do,
en:yeast,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4000521024444,To do,
en:baker-s-yeast,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:baker-s-yeast-compressed,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:oat-based-drinks,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489041320,To do,
en:soy-based-drinks,Croatia,en:croatia,hr,1,Yes,Categorize existing one,20230524,To do,
en:mayonnaises,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3858882210263,To do,
en:ketchup,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3858882210874,To do,
en:vinegars,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4056489440512,To do,
en:cider-vinegars,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:broth-stock,Croatia,en:croatia,hr,1,Yes,Categorize existing one,9100000050881,To do,
en:bouillon-pots,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:dehydrated-meat-and-vegetables-broth-stock,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:poultry-broth,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3850104274879,To do,
en:chewing-gum,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4009900484190,To do,
en:gummi-candies,Croatia,en:croatia,hr,1,Yes,Categorize existing one,4001686376089,To do,
en:milk-chocolates,Croatia,en:croatia,hr,1,Yes,Categorize existing one,7622210702562,To do,
en:pickled-gherkins,Croatia,en:croatia,hr,1,Yes,Categorize existing one,3850104093012,To do,
en:canned-tomato-purees,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:colas,Croatia,en:croatia,hr,1,Yes,Categorize existing one,5449000000286,To do,
en:diet-cola-soft-drink,Croatia,en:croatia,hr,1,Yes,Categorize existing one,5449000131836,To do,
en:carbonated-fruit-soft-drink,Croatia,en:croatia,hr,1,Yes,Categorize existing one,87126068,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
