Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:lagers,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:margarines,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:butters,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5740900837317,To do,
en:herbal-teas,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,4056489024279,To do,
en:teas,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5053826749894,To do,
en:canned-tunas,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,8004030348738,To do,
en:squid,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:jams,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:stuffed-olives,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:lemon-juice,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:orange-juices,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:tomato-juices,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,4056489602873,To do,
en:rusks,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5200113183200,To do,
en:crispbreads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:pitas,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,26824444,To do,
en:frozen-pre-baked-pitas,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:frozen-pre-baked-hamburger-buns,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:hamburger-buns,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,4056489018636,To do,
en:wholemeal-breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:wholemeal-sliced-breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:whole-wheat-english-muffins,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,4056489018636,To do,
en:wholemeal-breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,4056489018636,To do,
en:wheat-breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,4056489018636,To do,
en:mixed-cereal-flakes,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5059319025841,To do,
en:plain-wheat-biscuits,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:cakes,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:chocolate-cakes,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:croissant-filled-with-chocolate,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:,Cyprus,en:cyprus,cy,0,Yes,Categorize existing one,,To do,
en:wafers,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5201004020338,To do,
en:dry-pastas,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5201193113019,To do,
en:unleavened-breads,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:turkey-salami,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:cured-hams,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:hams,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5707196013603,To do,
en:dry-sausages,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:edam,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,,To do,
en:feta,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,5201168215649,To do,
en:goat-cheeses,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,5292530001540,To do,
en:greek-cheeses,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,5201168215649,To do,
en:feta,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,5201168215649,To do,
en:halloumi,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,4006494025082,To do,
en:ice-creams,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5290143004194,To do,
en:faisselles,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,,To do,
en:plain-cow-milk-yogurts,Cyprus,en:cyprus,cy,1,Maybe,Categorize existing one,,To do,
en:balsamic-vinegars,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:mustard-sauces,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:ketchup,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5290694014635,To do,
en:vinegars,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:milk-chocolates,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:tomato-pastes,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:colas,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5449000214799,To do,
en:energy-drinks,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5060166697334,To do,
en:carbonated-soft-drinks-without-fruit-juice,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,5449000214911,To do,
