Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8586001761994,To do,
en:non-alcoholic-beers,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594404024158,To do,
en:butters,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8719200265097,To do,
en:margarines,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8719200267503,To do,
en:cocoa-powder-for-beverages-with-sugar,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4305615891880,To do,
en:fermented-teas,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:sandwiches,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8588008810293,To do,
en:pizzas-pies-and-quiches,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8590421079058,To do,
en:focaccia,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4056489443087,To do,
en:potato-fries,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8710438033205,To do,
en:sandwiches,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8588008810293,To do,
en:potato-crisps,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594014630022,To do,
en:canned-fishes,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8004030860001,To do,
en:marinated-mackerel,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:marinated-anchovy-fillets,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:marinated-fish,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:apricots-in-syrup,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:canned-fruits,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,5201065113314,To do,
en:raisins,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8595691007497,To do,
en:jams,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,20006785,To do,
en:fruit-and-vegetable-juices,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8595643806673,To do,
en:bread-crumbs,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,858051520011,To do,
en:rye-breads,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4104420230835,To do,
en:breads,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4056489328766,To do,
en:rye-and-wheat-breads,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:breads,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4056489328766,To do,
en:Pains multicéréales,Czech Republic,en:czech-republic,cs,0,Yes,Categorize existing one,,To do,
en:wheat-breads,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4056489018636,To do,
en:breads,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4056489328766,To do,
en:plain-wheat-biscuits,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:special-breads,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8595643808295,To do,
en:hamburger-buns,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4063367004964,To do,
en:cream-pies,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:wafers,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8584004030000,To do,
en:dry-pastas,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,20063757,To do,
en:spices,Czech Republic,en:czech-republic,cs,1,Maybe,Categorize existing one,90426520,To do,
en:pork-liver-pates,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:pork-and-its-products,Czech Republic,en:czech-republic,cs,1,Maybe,Categorize existing one,8594013392921,To do,
en:white-hams,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594013392921,To do,
en:salami,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4056489065364,To do,
en:frankfurter-sausages,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:head-cheese,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:sausages,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594036020924,To do,
en:sausages,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594036020924,To do,
en:sausages,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594036020924,To do,
en:edam,Czech Republic,en:czech-republic,cs,1,Maybe,Categorize existing one,8593803326252,To do,
en:processed-cheeses,Czech Republic,en:czech-republic,cs,1,Maybe,Categorize existing one,8595121827787,To do,
en:quarks,Czech Republic,en:czech-republic,cs,1,Maybe,Categorize existing one,8593807886578,To do,
en:cow-milk-yogurts,Czech Republic,en:czech-republic,cs,1,Maybe,Categorize existing one,8593807517304,To do,
en:mustards,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,20105389,To do,
en:mustard-sauces,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:tartare-sauces,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8595003415491,To do,
en:ketchup,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8595139797003,To do,
en:vinegars,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,6921180880791,To do,
en:bouillon-cubes,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8590421049600,To do,
en:vegetable-bouillon-cubes,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8590421049600,To do,
en:dehydrated-broths,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8590421049600,To do,
en:vegetable-bouillon-powders,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:dehydrated-vegetables-bouillon,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:mixtures-of-herbs-and-spices,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,,To do,
en:chocolates,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,3046920024105,To do,
en:bonbons,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8000500023976,To do,
en:pickled-gherkins,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,20004330,To do,
en:sauerkrauts,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,9001495400055,To do,
en:canned-tomato-purees,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,4337256549646,To do,
en:flavoured-syrups,Czech Republic,en:czech-republic,cs,1,Maybe,Categorize existing one,8594057636340,To do,
en:colas,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594003849602,To do,
en:carbonated-soft-drinks-without-fruit-juice,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8480010870947,To do,
