Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:industrial-beer,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5740700992636,To do,
en:strong-beers,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5741000011539,To do,
en:distilled-beverages,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5410316671118,To do,
en:margarines,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5760466904919,To do,
en:butters,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5740900403376,To do,
en:margarines,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5760466904919,To do,
en:teas,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5705830000170,To do,
en:cocoa-powders,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5705830003485,To do,
en:potato-fries,Denmark,en:denmark,dk,1,Yes,Categorize existing one,20829735,To do,
en:goulash,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:hamburgers,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:prepared-lasagne,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5744001101315,To do,
en:meat-balls,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5709345000991,To do,
en:meatloafs,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:stews,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:canned-diced-mixed-vegetables,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:regina-pizza,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:potato-dishes,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5704000476258,To do,
en:potatoes,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5410153609770,To do,
en:prepared-potatoes,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5712873466689,To do,
en:boiled-or-steamed-potatoes,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5712873466689,To do,
en:frozen-potatoes,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:mashed-potatoes,Denmark,en:denmark,dk,1,Yes,Categorize existing one,8711327416192,To do,
en:sandwiches,Denmark,en:denmark,dk,1,Yes,Categorize existing one,7340138813503,To do,
en:vegetables-based-foods,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5705830017840,To do,
en:vegetable-gratins,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:vegetable-gratins,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:vegetable-sauces,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:potato-crisps,Denmark,en:denmark,dk,1,Yes,Categorize existing one,7310532104453,To do,
en:prepared-salads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701295292990,To do,
en:chicken-soups,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:mix-of-salad-leaves,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:salads-with-fish,Denmark,en:denmark,dk,1,Yes,Categorize existing one,4250073453203,To do,
en:prepared-salads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701295292990,To do,
en:salads-with-meat,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:potato-salads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5704000476258,To do,
en:leaf-salads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:canned-mussels,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:shelf-stable-prepared-aquatic-invertebrates,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:canned-tunas,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701018047418,To do,
en:marinated-fish,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:eels,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:smoked-eel,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:smoked-salmons,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701785391028,To do,
en:raisins,Denmark,en:denmark,dk,1,Yes,Categorize existing one,41143028643,To do,
en:marmalades,Denmark,en:denmark,dk,1,Yes,Categorize existing one,7310090244608,To do,
en:olives,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5712871111796,To do,
en:fruit-juice-concentrates,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5038862005678,To do,
en:apple-juices,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5712872937289,To do,
en:lemon-juice,Denmark,en:denmark,dk,1,Yes,Categorize existing one,8016438001016,To do,
en:orange-juices,Denmark,en:denmark,dk,1,Yes,Categorize existing one,4304493267848,To do,
en:bread-crumbs,Denmark,en:denmark,dk,1,Yes,Categorize existing one,4056489181217,To do,
en:rye-breads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701205008994,To do,
en:crispbreads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,7300400118408,To do,
en:rusks,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:rye-breads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701205008994,To do,
en:crispbreads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,7300400118408,To do,
en:rusks,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:crispbreads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,7300400118408,To do,
en:rusks,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:crispbreads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,7300400118408,To do,
en:rusks,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:rusks,Denmark,en:denmark,dk,1,Yes,Categorize existing one,,To do,
en:rye-breads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701205008994,To do,
en:rye-breads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701205008994,To do,
en:rye-breads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701205008994,To do,
en:breads,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5701205008994,To do,
