Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:salted-dried-cod,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:strong-beers,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:margarines,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:butters,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740153020000,To do,
en:margarines,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:butter-and-margarine-mix,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:teas,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4751037280830,To do,
en:flavored-teas,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:egg-sandwiches,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:fried-egg,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:poached-eggs,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:scrambled-egg,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:soft-boiled-eggs,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:fritter-filled-with-eggs,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:omelettes,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:meals-with-shellfish,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Estonia,en:estonia,ee,1,Yes,Categorize existing one,20490706,To do,
en:ground-beef-steaks,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:sauteed-potatoes,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:pasta-dishes,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4056489721024,To do,
en:mashed-potatoes,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:vegetables-based-foods,Estonia,en:estonia,ee,1,Yes,Categorize existing one,3083680025881,To do,
en:chicken-and-vegetables-soup,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:potato-salads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:canned-pineapples,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:raisins,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:jams,Estonia,en:estonia,ee,1,Yes,Categorize existing one,3045320001525,To do,
en:fruit-juices,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740029050070,To do,
en:apple-juices,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:orange-juices,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:tomato-juices,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740072251554,To do,
en:rye-breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,20171841,To do,
en:rye-and-wheat-breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740072251554,To do,
en:Pains multicéréales,Estonia,en:estonia,ee,0,Yes,Categorize existing one,,To do,
en:rusks,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:rye-breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,20171841,To do,
en:rye-breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,20171841,To do,
en:breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740072251554,To do,
en:rye-breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,20171841,To do,
en:rye-and-wheat-breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:wheat-breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4056489918196,To do,
en:breads,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740072251554,To do,
en:plain-wheat-biscuits,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:dry-pastas,Estonia,en:estonia,ee,1,Yes,Categorize existing one,20063757,To do,
en:bacon,Estonia,en:estonia,ee,1,Maybe,Categorize existing one,4740003010892,To do,
en:white-hams,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:poultries,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740618007508,To do,
en:frankfurter-sausages,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:sausages,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740296010777,To do,
en:sausages,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740296010777,To do,
en:sausages,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740296010777,To do,
en:cottage-cheeses,Estonia,en:estonia,ee,1,Maybe,Categorize existing one,,To do,
en:firm-cheese-around-27-fat-maasdam-type-cheese,Estonia,en:estonia,ee,1,Maybe,Categorize existing one,,To do,
en:processed-cheeses,Estonia,en:estonia,ee,1,Maybe,Categorize existing one,,To do,
en:quarks,Estonia,en:estonia,ee,1,Maybe,Categorize existing one,4740636977616,To do,
en:ice-creams,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740093072374,To do,
en:kefir,Estonia,en:estonia,ee,1,Maybe,Categorize existing one,4740125321166,To do,
en:sour-creams,Estonia,en:estonia,ee,1,Maybe,Categorize existing one,,To do,
en:yogurt-drinks,Estonia,en:estonia,ee,1,Yes,Categorize existing one,47500884,To do,
en:flavoured-yogurts,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:mct-powder,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:vitamin-supplements,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:mayonnaises,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4740502002152,To do,
en:light-mayonnaises,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:salad-dressings,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:ketchup,Estonia,en:estonia,ee,1,Yes,Categorize existing one,8711200405862,To do,
en:vegetable-bouillon-cubes,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:gummi-candies,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4037400344782,To do,
en:french-pralines,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:pickled-gherkins,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:sauerkrauts,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:canned-sweet-corn,Estonia,en:estonia,ee,1,Yes,Categorize existing one,3083680025881,To do,
en:canned-tomato-purees,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:flavored-waters,Estonia,en:estonia,ee,1,Yes,Categorize existing one,4770349231477,To do,
en:colas,Estonia,en:estonia,ee,1,Yes,Categorize existing one,5449000131836,To do,
en:carbonated-soft-drinks-without-fruit-juice,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
