Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:light-beers,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:rum-based-cocktail,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:frying-oil,Finland,en:finland,fi,1,Maybe,Categorize existing one,,To do,
en:margarines,Finland,en:finland,fi,1,Yes,Categorize existing one,6408430030309,To do,
en:butters,Finland,en:finland,fi,1,Yes,Categorize existing one,6408430030002,To do,
en:30-40-blended-fat-with-vegetable-and-animal-origins,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:50-63-blended-fat-with-vegetable-and-animal-origins,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:butter-and-margarine-mix,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:margarines,Finland,en:finland,fi,1,Yes,Categorize existing one,6408430030309,To do,
en:butter-and-margarine-mix,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:margarines,Finland,en:finland,fi,1,Yes,Categorize existing one,6408430030309,To do,
en:herbal-teas,Finland,en:finland,fi,1,Yes,Categorize existing one,6411020001450,To do,
en:chocolate-milks,Finland,en:finland,fi,1,Yes,Categorize existing one,5711953169991,To do,
en:herbal-teas,Finland,en:finland,fi,1,Yes,Categorize existing one,6411020001450,To do,
en:teas,Finland,en:finland,fi,1,Yes,Categorize existing one,8720892511188,To do,
en:meat-balls,Finland,en:finland,fi,1,Yes,Categorize existing one,20642686,To do,
en:meals-with-meat,Finland,en:finland,fi,1,Yes,Categorize existing one,4056489442981,To do,
en:fresh-cooked-unsalted-egg-pasta,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:fruit-based-foods-prepared,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Finland,en:finland,fi,1,Yes,Categorize existing one,5906013002091,To do,
en:canned-tunas,Finland,en:finland,fi,1,Yes,Categorize existing one,6410405324092,To do,
en:herring,Finland,en:finland,fi,1,Yes,Categorize existing one,20550813,To do,
en:smoked-herrings,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:smoked-salmons,Finland,en:finland,fi,1,Yes,Categorize existing one,2351413801769,To do,
en:canned-pineapples,Finland,en:finland,fi,1,Yes,Categorize existing one,6410405138323,To do,
en:stuffed-olives,Finland,en:finland,fi,1,Yes,Categorize existing one,8410159016586,To do,
en:fruit-juice-concentrates,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:orange-juices-from-concentrate,Finland,en:finland,fi,1,Yes,Categorize existing one,7340191174542,To do,
en:fruit-smoothies,Finland,en:finland,fi,1,Yes,Categorize existing one,7350020720017,To do,
en:apple-juices,Finland,en:finland,fi,1,Yes,Categorize existing one,7340191162310,To do,
en:lemon-juice,Finland,en:finland,fi,1,Yes,Categorize existing one,76106002,To do,
en:multifruit-juices,Finland,en:finland,fi,1,Yes,Categorize existing one,6415130041740,To do,
en:orange-juices,Finland,en:finland,fi,1,Yes,Categorize existing one,6415130043461,To do,
en:bread-crumbs,Finland,en:finland,fi,1,Yes,Categorize existing one,858051520011,To do,
en:rusks,Finland,en:finland,fi,1,Yes,Categorize existing one,6409770080108,To do,
en:crispbreads,Finland,en:finland,fi,1,Yes,Categorize existing one,7300400118408,To do,
en:rye-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6411402202208,To do,
en:breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6437002001454,To do,
en:Pains multicéréales,Finland,en:finland,fi,0,Yes,Categorize existing one,,To do,
en:rye-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6411402202208,To do,
en:breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6437002001454,To do,
en:rye-and-wheat-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6437002001454,To do,
en:rye-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6411402202208,To do,
en:breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6437002001454,To do,
en:wholemeal-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,20082185,To do,
en:wholemeal-sliced-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,20082185,To do,
en:wheat-wholemeal-swedish-toast,Finland,en:finland,fi,1,Yes,Categorize existing one,6438114987421,To do,
en:whole-wheat-english-muffins,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6437002001454,To do,
en:wheat-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,7340191144620,To do,
en:cornmeal,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:instant-porridges-with-milk-powder,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:porridge,Finland,en:finland,fi,1,Yes,Categorize existing one,6411200104858,To do,
en:filled-biscuits,Finland,en:finland,fi,1,Yes,Categorize existing one,7622210137258,To do,
en:special-breads,Finland,en:finland,fi,1,Yes,Categorize existing one,6408180737596,To do,
en:hamburger-buns,Finland,en:finland,fi,1,Yes,Categorize existing one,20006358,To do,
en:cream-pies,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:,Finland,en:finland,fi,0,Yes,Categorize existing one,,To do,
en:muffins,Finland,en:finland,fi,1,Yes,Categorize existing one,6410405324139,To do,
en:pancakes,Finland,en:finland,fi,1,Yes,Categorize existing one,6410405272720,To do,
en:cereal-pastas,Finland,en:finland,fi,1,Yes,Categorize existing one,6417700050725,To do,
en:bacon,Finland,en:finland,fi,1,Maybe,Categorize existing one,6409100046286,To do,
en:white-hams,Finland,en:finland,fi,1,Yes,Categorize existing one,4056489598954,To do,
en:turkeys,Finland,en:finland,fi,1,Yes,Categorize existing one,6407810017947,To do,
en:hams,Finland,en:finland,fi,1,Yes,Categorize existing one,6409100043230,To do,
en:sausages,Finland,en:finland,fi,1,Yes,Categorize existing one,6409100043230,To do,
en:salami,Finland,en:finland,fi,1,Yes,Categorize existing one,6409100042042,To do,
en:edam,Finland,en:finland,fi,1,Maybe,Categorize existing one,4056489203339,To do,
en:emmentaler,Finland,en:finland,fi,1,Maybe,Categorize existing one,6408430341894,To do,
en:alderman,Finland,en:finland,fi,1,Maybe,Categorize existing one,,To do,
en:tilsit,Finland,en:finland,fi,1,Maybe,Categorize existing one,20050238,To do,
en:cottage-cheeses,Finland,en:finland,fi,1,Maybe,Categorize existing one,6408430043200,To do,
en:processed-cheeses,Finland,en:finland,fi,1,Maybe,Categorize existing one,6410405312891,To do,
en:quarks,Finland,en:finland,fi,1,Maybe,Categorize existing one,6408430042081,To do,
en:feta-type-cheese,Finland,en:finland,fi,1,Maybe,Categorize existing one,,To do,
en:custards-and-pastry-creams,Finland,en:finland,fi,1,Yes,Categorize existing one,7394376044342,To do,
en:dairy-desserts,Finland,en:finland,fi,1,Yes,Categorize existing one,7392672004459,To do,
en:ice-creams,Finland,en:finland,fi,1,Yes,Categorize existing one,6430064407684,To do,
en:sour-creams,Finland,en:finland,fi,1,Maybe,Categorize existing one,6430033521090,To do,
en:sour-creams,Finland,en:finland,fi,1,Maybe,Categorize existing one,6430033521090,To do,
xx:viili,Finland,en:finland,fi,1,Maybe,Categorize existing one,6408430004324,To do,
en:flavoured-yogurts,Finland,en:finland,fi,1,Yes,Categorize existing one,6408430024841,To do,
en:plain-cow-milk-yogurts,Finland,en:finland,fi,1,Maybe,Categorize existing one,,To do,
en:multivitamin-and-mineral-supplements,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:mct-powder,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:multivitamin-and-mineral-supplements,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:vitamin-supplements,Finland,en:finland,fi,1,Yes,Categorize existing one,6419860991276,To do,
en:plant-based-creams-for-cooking,Finland,en:finland,fi,1,Yes,Categorize existing one,6430051825415,To do,
