Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,France,en:france,fr,1,Yes,Categorize existing one,3080216043807,To do,
en:beers-with-fruits,France,en:france,fr,1,Yes,Categorize existing one,3080216048543,To do,
en:liqueurs,France,en:france,fr,1,Yes,Categorize existing one,8002230350285,To do,
en:fortified-wines,France,en:france,fr,1,Yes,Categorize existing one,3147690087403,To do,
en:madeira-wine,France,en:france,fr,1,Yes,Categorize existing one,3147690034100,To do,
en:white-ports,France,en:france,fr,1,Yes,Categorize existing one,3256223631232,To do,
en:red-ports,France,en:france,fr,1,Yes,Categorize existing one,3270190008972,To do,
en:commandaria,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:commandaria,France,en:france,fr,1,Yes,Categorize existing one,,To do,
hr:vino-marsala,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:sherry,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:soy-based-drinks,France,en:france,fr,1,Yes,Categorize existing one,3596710385256,To do,
en:frying-oil,France,en:france,fr,1,Maybe,Categorize existing one,3560071138639,To do,
en:butters,France,en:france,fr,1,Yes,Categorize existing one,3451790988677,To do,
en:margarines,France,en:france,fr,1,Yes,Categorize existing one,3155250358788,To do,
en:margarines-high-in-omega-3,France,en:france,fr,1,Yes,Categorize existing one,3366321053284,To do,
en:margarines,France,en:france,fr,1,Yes,Categorize existing one,3155250358788,To do,
en:80-unsalted-vegetable-fat,France,en:france,fr,1,Yes,Categorize existing one,631583101015,To do,
en:80-salted-vegetable-fat,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:fermented-teas,France,en:france,fr,1,Yes,Categorize existing one,3760192490641,To do,
en:fruit-teas,France,en:france,fr,1,Yes,Categorize existing one,8720608025138,To do,
en:herbal-teas,France,en:france,fr,1,Yes,Categorize existing one,3057640508813,To do,
en:herbal-teas,France,en:france,fr,1,Yes,Categorize existing one,3057640508813,To do,
en:teas,France,en:france,fr,1,Yes,Categorize existing one,3124480195326,To do,
en:cocoa-powder-for-beverages-with-sugar,France,en:france,fr,1,Yes,Categorize existing one,3033710065783,To do,
en:frozen-deep-fried-french-fries,France,en:france,fr,1,Yes,Categorize existing one,3270160500468,To do,
en:prepared-lasagne,France,en:france,fr,1,Yes,Categorize existing one,3338310001279,To do,
en:meals-with-meat,France,en:france,fr,1,Yes,Categorize existing one,3242274030056,To do,
en:stews,France,en:france,fr,1,Yes,Categorize existing one,4003082007826,To do,
en:sauteed-potatoes,France,en:france,fr,1,Yes,Categorize existing one,3270160508525,To do,
en:pizzas-pies-and-quiches,France,en:france,fr,1,Yes,Categorize existing one,3242272346050,To do,
en:quiches,France,en:france,fr,1,Yes,Categorize existing one,3248830000587,To do,
en:wraps,France,en:france,fr,1,Yes,Categorize existing one,8710637105352,To do,
en:vegetables-based-foods,France,en:france,fr,1,Yes,Categorize existing one,3083681095296,To do,
en:reheatable-mixed-vegetables-soup,France,en:france,fr,1,Yes,Categorize existing one,3036815425070,To do,
en:canned-tunas,France,en:france,fr,1,Yes,Categorize existing one,3019081239862,To do,
en:raisins,France,en:france,fr,1,Yes,Categorize existing one,3560070705801,To do,
en:apple-compotes,France,en:france,fr,1,Yes,Categorize existing one,3021769505602,To do,
en:plum-jams,France,en:france,fr,1,Yes,Categorize existing one,3045320001594,To do,
en:mirabelle-plum-jams,France,en:france,fr,1,Yes,Categorize existing one,3045320001594,To do,
en:strawberry-jams,France,en:france,fr,1,Yes,Categorize existing one,3608580823445,To do,
en:stuffed-olives,France,en:france,fr,1,Yes,Categorize existing one,20033378,To do,
en:lemon-juice,France,en:france,fr,1,Yes,Categorize existing one,3456300002508,To do,
en:multifruit-juices,France,en:france,fr,1,Yes,Categorize existing one,5038862134330,To do,
en:orange-juices,France,en:france,fr,1,Yes,Categorize existing one,3502110009449,To do,
en:breads,France,en:france,fr,1,Yes,Categorize existing one,3760049790214,To do,
en:breads,France,en:france,fr,1,Yes,Categorize existing one,3760049790214,To do,
en:Pains multicéréales,France,en:france,fr,0,Yes,Categorize existing one,,To do,
en:rusks,France,en:france,fr,1,Yes,Categorize existing one,7311070032611,To do,
en:wholemeal-rolls-for-hamburger,France,en:france,fr,1,Yes,Categorize existing one,3564700637685,To do,
en:hamburger-buns,France,en:france,fr,1,Yes,Categorize existing one,3029330801924,To do,
en:frozen-pre-baked-hamburger-buns,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:whole-wheat-english-muffins,France,en:france,fr,1,Yes,Categorize existing one,3182189999768,To do,
en:wholemeal-rolls-for-hamburger,France,en:france,fr,1,Yes,Categorize existing one,3564700637685,To do,
en:breads,France,en:france,fr,1,Yes,Categorize existing one,3760049790214,To do,
en:wholemeal-breads,France,en:france,fr,1,Yes,Categorize existing one,3760049790214,To do,
en:wholemeal-sliced-breads,France,en:france,fr,1,Yes,Categorize existing one,3760049790214,To do,
en:wheat-wholemeal-swedish-toast,France,en:france,fr,1,Yes,Categorize existing one,2000000026046,To do,
en:wholemeal-hot-dog-buns,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:breads,France,en:france,fr,1,Yes,Categorize existing one,3760049790214,To do,
en:wholemeal-breads,France,en:france,fr,1,Yes,Categorize existing one,3760049790214,To do,
en:wheat-breads,France,en:france,fr,1,Yes,Categorize existing one,8410076470812,To do,
