Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:non-alcoholic-beers,Germany,en:germany,de,1,Yes,Categorize existing one,4008948194016,To do,
en:industrial-beer,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:pure-malt-beers,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:pale-ales,Germany,en:germany,de,1,Yes,Categorize existing one,4014807221403,To do,
en:shandy,Germany,en:germany,de,1,Yes,Categorize existing one,42391913,To do,
en:wheat-beers,Germany,en:germany,de,1,Yes,Categorize existing one,4066600201922,To do,
en:butters,Germany,en:germany,de,1,Yes,Categorize existing one,4001954161010,To do,
en:30-40-blended-fat-with-vegetable-and-animal-origins,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:50-63-blended-fat-with-vegetable-and-animal-origins,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:butter-and-margarine-mix,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:margarines,Germany,en:germany,de,1,Yes,Categorize existing one,8719200282612,To do,
en:instant-cocoa-or-chocolate-beverage-with-sugar-fortified-with-vitamins-and-chemical-elements-ready-to-drink-reconstituted-with-standard-semi-skimm,Germany,en:germany,de,1,Yes,Categorize existing one,7612100909911,To do,
en:fermented-teas,Germany,en:germany,de,1,Yes,Categorize existing one,8720892511140,To do,
en:fruit-teas,Germany,en:germany,de,1,Yes,Categorize existing one,4009300014492,To do,
en:herbal-teas,Germany,en:germany,de,1,Yes,Categorize existing one,4009300014492,To do,
en:herbal-teas,Germany,en:germany,de,1,Yes,Categorize existing one,4009300014492,To do,
en:rooibos,Germany,en:germany,de,1,Yes,Categorize existing one,4002221007130,To do,
en:flavored-teas,Germany,en:germany,de,1,Yes,Categorize existing one,4009300005841,To do,
en:fresh-mixed-vegetables,Germany,en:germany,de,1,Yes,Categorize existing one,4001866015005,To do,
