Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:ales,Greece,en:greece,el,1,Yes,Categorize existing one,8712000014223,To do,
en:margarines,Greece,en:greece,el,1,Yes,Categorize existing one,4056489822646,To do,
en:herbal-teas,Greece,en:greece,el,1,Yes,Categorize existing one,4056489024279,To do,
en:compotes,Greece,en:greece,el,1,Yes,Categorize existing one,1548679,To do,
en:stuffed-olives,Greece,en:greece,el,1,Yes,Categorize existing one,7610200314017,To do,
en:lemon-juice,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:orange-juices,Greece,en:greece,el,1,Yes,Categorize existing one,5201037404112,To do,
en:multifruit-nectars,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:breadsticks,Greece,en:greece,el,1,Yes,Categorize existing one,5204653003448,To do,
en:pitas,Greece,en:greece,el,1,Yes,Categorize existing one,5201673005254,To do,
en:frozen-pre-baked-pitas,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:wheat-rusk-slices,Greece,en:greece,el,1,Yes,Categorize existing one,5201882006264,To do,
en:rusks,Greece,en:greece,el,1,Yes,Categorize existing one,5201004056474,To do,
en:common-wheat-rusks,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:rye-breads,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:frozen-pre-baked-hamburger-buns,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:hamburger-buns,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:wheat-breads,Greece,en:greece,el,1,Yes,Categorize existing one,4056489018636,To do,
en:breads,Greece,en:greece,el,1,Yes,Categorize existing one,5201673001034,To do,
en:mixed-cereal-flakes,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:Sablés au beurre,Greece,en:greece,el,0,Yes,Categorize existing one,,To do,
en:chocolate-cakes,Greece,en:greece,el,1,Yes,Categorize existing one,5200327603280,To do,
en:croissant-filled-with-chocolate,Greece,en:greece,el,1,Yes,Categorize existing one,5201360528561,To do,
en:cakes,Greece,en:greece,el,1,Yes,Categorize existing one,5201182019315,To do,
en:plain-madeleines,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:plain-cheesecakes,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:plain-breton-pudding-cake,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:durum-wheat-pasta,Greece,en:greece,el,1,Yes,Categorize existing one,8076800376999,To do,
en:phyllo-dough,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:tahini,Greece,en:greece,el,1,Yes,Categorize existing one,5201182023008,To do,
en:bacon,Greece,en:greece,el,1,Maybe,Categorize existing one,,To do,
en:white-hams,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:turkeys,Greece,en:greece,el,1,Yes,Categorize existing one,5201310000659,To do,
en:mortadella,Greece,en:greece,el,1,Yes,Categorize existing one,,To do,
en:cheeses,Greece,en:greece,el,1,Maybe,Categorize existing one,5206546002286,To do,
en:feta,Greece,en:greece,el,1,Maybe,Categorize existing one,2681922031402,To do,
en:gouda,Greece,en:greece,el,1,Maybe,Categorize existing one,4056489091585,To do,
en:Κεφαλογραβιέρα,Greece,en:greece,el,0,Maybe,Categorize existing one,,To do,
en:greek-cheeses,Greece,en:greece,el,1,Maybe,Categorize existing one,2681922031402,To do,
en:feta,Greece,en:greece,el,1,Maybe,Categorize existing one,2681922031402,To do,
en:goat-cheeses,Greece,en:greece,el,1,Maybe,Categorize existing one,5214000042211,To do,
en:plain-cow-milk-yogurts,Greece,en:greece,el,1,Maybe,Categorize existing one,,To do,
en:mayonnaises,Greece,en:greece,el,1,Yes,Categorize existing one,8718114717081,To do,
en:ketchup,Greece,en:greece,el,1,Yes,Categorize existing one,4056489470847,To do,
en:tomato-sauces,Greece,en:greece,el,1,Yes,Categorize existing one,4056489470847,To do,
en:vinegars,Greece,en:greece,el,1,Yes,Categorize existing one,5201031250340,To do,
en:chocolate-spreads,Greece,en:greece,el,1,Yes,Categorize existing one,7622201126131,To do,
en:milk-chocolates,Greece,en:greece,el,1,Yes,Categorize existing one,5201127013101,To do,
en:colas,Greece,en:greece,el,1,Yes,Categorize existing one,5449000214799,To do,
