Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:non-alcoholic-beers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5998818174448,To do,
en:lagers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5998817520383,To do,
en:butters,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5740900400849,To do,
en:margarines,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5900247000786,To do,
en:fermented-teas,Hungary,en:hungary,hu,1,Yes,Categorize existing one,3830073630098,To do,
en:fruit-teas,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997505321400,To do,
en:herbal-teas,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997505321400,To do,
en:herbal-teas,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997505321400,To do,
en:flavored-teas,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:egg-sandwiches,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:fried-egg,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:poached-eggs,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:scrambled-egg,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:soft-boiled-eggs,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:fritter-filled-with-eggs,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:omelettes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:lentil-dishes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Hungary,en:hungary,hu,1,Yes,Categorize existing one,20303822,To do,
en:stews,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:pasta-dishes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489009214,To do,
en:fresh-cooked-unsalted-egg-pasta,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:potato-dishes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:pure-mashed-potatoes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:rice-dishes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,20147471,To do,
en:vegetables-based-foods,Hungary,en:hungary,hu,1,Yes,Categorize existing one,20186289,To do,
en:bean-soups,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:chicken-and-vegetables-soup,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:reheatable-mixed-vegetables-soup,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:leaf-salads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:cherries-in-syrup,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:apricot-jams,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4099200055824,To do,
en:lemon-juice,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4335619009172,To do,
en:multifruit-juices,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5998815117653,To do,
en:orange-juices,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4335619009318,To do,
en:peach-nectars,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489158172,To do,
en:bread-crumbs,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5999885491056,To do,
en:rye-breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4099200009964,To do,
en:breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489828105,To do,
en:wholemeal-breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489828105,To do,
en:wholemeal-sliced-breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489828105,To do,
en:whole-wheat-english-muffins,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489828105,To do,
en:wholemeal-breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489828105,To do,
en:wheat-breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489018636,To do,
en:breads,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489828105,To do,
en:cooked-oat-flakes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:plain-wheat-biscuits,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:chocolate-cakes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,3017760524896,To do,
en:sweet-dumpling-squashes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:fruit-tarts,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:frozen-dessert-puff-pastry,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:shortcrust-pastry,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:sponge-cakes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:wafers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,9000331604275,To do,
en:filled-croissants,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5310192000142,To do,
en:brioches,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4061464065208,To do,
en:milk-bread-rolls,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4099200010724,To do,
en:pastries,Hungary,en:hungary,hu,1,Yes,Categorize existing one,9100000900094,To do,
en:waffles,Hungary,en:hungary,hu,1,Yes,Categorize existing one,9100000900094,To do,
en:sweet-pastries-and-pies,Hungary,en:hungary,hu,1,Yes,Categorize existing one,7622202251597,To do,
en:viennoiseries,Hungary,en:hungary,hu,1,Yes,Categorize existing one,7622202251597,To do,
en:croissants,Hungary,en:hungary,hu,1,Yes,Categorize existing one,7622202251597,To do,
en:Gâches,Hungary,en:hungary,hu,0,Yes,Categorize existing one,,To do,
en:chocolate-croissant,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:chocolate-croissant-prepacked,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:vienna-bread,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:fresh-sweet-pastries-and-pies,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:dry-egg-pastas,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997132506607,To do,
en:white-hams,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489197393,To do,
en:Mortadella Bologna,Hungary,en:hungary,hu,0,Yes,Categorize existing one,,To do,
en:Budapesti téliszalámi,Hungary,en:hungary,hu,0,Yes,Categorize existing one,,To do,
en:Csabai kolbász,Hungary,en:hungary,hu,0,Yes,Categorize existing one,,To do,
en:frankfurter-sausages,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5998002016783,To do,
en:lithuanian-curd-cheese,Hungary,en:hungary,hu,1,Maybe,Categorize existing one,,To do,
en:gouda,Hungary,en:hungary,hu,1,Maybe,Categorize existing one,4061464307759,To do,
en:trappista,Hungary,en:hungary,hu,1,Maybe,Categorize existing one,5998216703691,To do,
en:processed-cheeses,Hungary,en:hungary,hu,1,Maybe,Categorize existing one,3073780839631,To do,
en:dairy-desserts,Hungary,en:hungary,hu,1,Yes,Categorize existing one,20761776,To do,
en:entremets-mousses-and-creamy-puddings,Hungary,en:hungary,hu,1,Yes,Categorize existing one,4056489216155,To do,
en:dairy-desserts,Hungary,en:hungary,hu,1,Yes,Categorize existing one,20761776,To do,
en:fresh-cream-cheese-cake,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:dairy-mousses,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:chocolate-snack-bar-dairy-filling,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:ice-creams,Hungary,en:hungary,hu,1,Yes,Categorize existing one,9100000760582,To do,
en:kefir,Hungary,en:hungary,hu,1,Maybe,Categorize existing one,5998201225405,To do,
en:sour-creams,Hungary,en:hungary,hu,1,Maybe,Categorize existing one,20365141,To do,
en:flavoured-yogurts,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:plain-cow-milk-yogurts,Hungary,en:hungary,hu,1,Maybe,Categorize existing one,,To do,
en:multivitamin-and-mineral-supplements,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:protein-powders,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5999076228379,To do,
en:vitamin-supplements,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5999883354933,To do,
en:mayonnaises,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997010304561,To do,
en:mustards,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997010305186,To do,
en:mustard-sauces,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:ketchup,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997010302239,To do,
en:vinegars,Hungary,en:hungary,hu,1,Yes,Categorize existing one,20470265,To do,
en:filled-chocolates,Hungary,en:hungary,hu,1,Yes,Categorize existing one,7622300134532,To do,
en:canned-tomatoes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,20198107,To do,
en:canned-peppers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5997010306527,To do,
en:stuffed-tomatoes,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:canned-tomato-purees,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:tomato-jams,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:tomato-chutneys,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:sweet-pepper-chutneys,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:cooked-peppers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:cooked-sweet-peppers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
en:sweet-pepper-jams,Hungary,en:hungary,hu,1,Yes,Categorize existing one,,To do,
