Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:non-alcoholic-beers,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5021812005583,To do,
en:industrial-beer,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:stouts,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:soy-based-drinks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5411188103387,To do,
en:frying-oil,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,,To do,
en:margarines,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5011037611195,To do,
en:butters,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5011038004545,To do,
en:butter-and-margarine-mix,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099817005389,To do,
en:30-40-blended-fat-with-vegetable-and-animal-origins,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:50-63-blended-fat-with-vegetable-and-animal-origins,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:margarines,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5011037611195,To do,
en:fermented-teas,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099810020006,To do,
en:herbal-teas,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099810020006,To do,
en:frozen-deep-fried-french-fries,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5090383101000,To do,
en:stews,Ireland,en:ireland,ie,1,Yes,Categorize existing one,20500009,To do,
en:canned-diced-mixed-vegetables,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:sauteed-potatoes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:pizzas,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4056489462200,To do,
en:vegetable-sauces,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4337256045971,To do,
en:potato-crisps,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5053990179039,To do,
en:vegetable-salads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:reheatable-mixed-vegetables-soup,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:canned-soups,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4400108012039,To do,
en:canned-mixed-fruits-in-syrup,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:canned-pineapples,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4311501660829,To do,
en:raisins,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4056489757832,To do,
en:mixed-fruit-jams,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099874199373,To do,
en:orange-jams,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099682001431,To do,
en:stuffed-olives,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4002239821209,To do,
en:fruit-smoothies,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5038862831338,To do,
en:apple-juices,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099874111962,To do,
en:orange-juices,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4056489975410,To do,
en:breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099630002237,To do,
en:bread-rolls,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099077004252,To do,
en:stuffing,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4061463695178,To do,
en:breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099630002237,To do,
en:bread-crumbs,Ireland,en:ireland,ie,1,Yes,Categorize existing one,9310432003212,To do,
en:breadsticks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5018374285577,To do,
en:breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099630002237,To do,
en:Pains multicéréales,Ireland,en:ireland,ie,0,Yes,Categorize existing one,,To do,
en:cooked-pizza-base,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099874315773,To do,
en:spanish-omelettes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,8436030670432,To do,
en:wholemeal-breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5391526416075,To do,
en:wholemeal-sliced-breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5391526416044,To do,
en:breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099630002237,To do,
en:whole-wheat-english-muffins,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:wheat-breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5011059000014,To do,
en:breads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099630002237,To do,
en:cornmeal,Ireland,en:ireland,ie,1,Yes,Categorize existing one,7503015447035,To do,
en:porridge-with-fruits,Ireland,en:ireland,ie,1,Yes,Categorize existing one,29310661,To do,
en:instant-porridges-with-milk-powder,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:porridge,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099801000031,To do,
en:corn-flakes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5059319030517,To do,
en:mixed-cereal-flakes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000127163096,To do,
en:extruded-wheat-flakes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000127062092,To do,
en:filled-biscuits,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4088600257402,To do,
