Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Italy,en:italy,it,1,Yes,Categorize existing one,8001435500013,To do,
en:rice-based-drinks,Italy,en:italy,it,1,Yes,Categorize existing one,8002670500516,To do,
en:soy-based-drinks,Italy,en:italy,it,1,Yes,Categorize existing one,5411188115496,To do,
en:butters,Italy,en:italy,it,1,Yes,Categorize existing one,8000415000918,To do,
en:herbal-teas,Italy,en:italy,it,1,Yes,Categorize existing one,8000050026076,To do,
en:herbal-teas,Italy,en:italy,it,1,Yes,Categorize existing one,8000050026076,To do,
en:teas,Italy,en:italy,it,1,Yes,Categorize existing one,80165491,To do,
en:flavored-teas,Italy,en:italy,it,1,Yes,Categorize existing one,80177340,To do,
en:meals-with-shellfish,Italy,en:italy,it,1,Yes,Categorize existing one,8001120736284,To do,
en:meals-with-meat,Italy,en:italy,it,1,Yes,Categorize existing one,7311310381271,To do,
en:stews,Italy,en:italy,it,1,Yes,Categorize existing one,8014190002791,To do,
en:bolognese-style-pasta,Italy,en:italy,it,1,Yes,Categorize existing one,26306766,To do,
en:pizzas,Italy,en:italy,it,1,Yes,Categorize existing one,8015673029779,To do,
en:potato-gratin,Italy,en:italy,it,1,Yes,Categorize existing one,3560071493882,To do,
en:vegetables-based-foods,Italy,en:italy,it,1,Yes,Categorize existing one,80042563,To do,
en:dehydrated-cereals-and-vegetables-soup,Italy,en:italy,it,1,Yes,Categorize existing one,8001860257773,To do,
en:fermented-cereal-soup,Italy,en:italy,it,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Italy,en:italy,it,1,Yes,Categorize existing one,8004030352414,To do,
en:leaf-salads,Italy,en:italy,it,1,Yes,Categorize existing one,8006862008491,To do,
en:canned-tunas,Italy,en:italy,it,1,Yes,Categorize existing one,8017596004239,To do,
en:squid,Italy,en:italy,it,1,Yes,Categorize existing one,,To do,
en:jams,Italy,en:italy,it,1,Yes,Categorize existing one,8000080004358,To do,
en:stuffed-olives,Italy,en:italy,it,1,Yes,Categorize existing one,8014531204785,To do,
en:lemon-juice,Italy,en:italy,it,1,Yes,Categorize existing one,20019907,To do,
en:orange-juices,Italy,en:italy,it,1,Yes,Categorize existing one,8000340473450,To do,
en:mixed-fruits-pure-multivitamin-juice,Italy,en:italy,it,1,Yes,Categorize existing one,,To do,
en:bread-rolls,Italy,en:italy,it,1,Yes,Categorize existing one,8076809584722,To do,
en:breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809504720,To do,
en:bread-crumbs,Italy,en:italy,it,1,Yes,Categorize existing one,8003160006907,To do,
en:breadsticks,Italy,en:italy,it,1,Yes,Categorize existing one,8076809520003,To do,
en:cooked-pizza-base,Italy,en:italy,it,1,Yes,Categorize existing one,8076809583046,To do,
en:common-wheat-rusks,Italy,en:italy,it,1,Yes,Categorize existing one,3560071013547,To do,
en:rusks,Italy,en:italy,it,1,Yes,Categorize existing one,8076809512114,To do,
en:wheat-rusk-slices,Italy,en:italy,it,1,Yes,Categorize existing one,8029404006540,To do,
en:wholemeal-rusks,Italy,en:italy,it,1,Yes,Categorize existing one,8076809512114,To do,
en:wholemeal-breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809504751,To do,
en:wholemeal-sliced-breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809504751,To do,
en:breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809504720,To do,
en:whole-wheat-english-muffins,Italy,en:italy,it,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Italy,en:italy,it,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Italy,en:italy,it,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Italy,en:italy,it,1,Yes,Categorize existing one,,To do,
en:wholemeal-breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809504751,To do,
en:breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809504720,To do,
en:wheat-breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809530859,To do,
en:breads,Italy,en:italy,it,1,Yes,Categorize existing one,8076809504720,To do,
en:corn-flakes,Italy,en:italy,it,1,Yes,Categorize existing one,8010265640202,To do,
en:filled-biscuits,Italy,en:italy,it,1,Yes,Categorize existing one,8076809580670,To do,
en:plain-wheat-biscuits,Italy,en:italy,it,1,Yes,Categorize existing one,8002190001395,To do,
en:croissants,Italy,en:italy,it,1,Yes,Categorize existing one,8001720645238,To do,
en:sponge-cakes,Italy,en:italy,it,1,Yes,Categorize existing one,4008400290829,To do,
