Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4751030990118,To do,
en:light-beers,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:butters,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750467000049,To do,
en:margarines,Latvia,en:latvia,lv,1,Yes,Categorize existing one,8719200264854,To do,
en:fruit-teas,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4751004320088,To do,
en:herbal-teas,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4751004320088,To do,
en:teas,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4751037280830,To do,
en:meat-balls,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4056489283577,To do,
en:stews,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:pan-fried-vegetables,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:sauteed-potatoes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:fresh-cooked-unsalted-egg-pasta,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:mashed-potatoes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750127300748,To do,
en:rostis,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:salted-pies,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:soups,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4820179256918,To do,
en:mutton-broth,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:poultry-broth,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:veal-stock,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:liquid-chicken-broths,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:beef-broth,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:chicken-and-vegetables-soup,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:dehydrated-broth-with-meat-and-vegetables,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:dehydrated-meat-and-vegetables-broth-stock,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:dehydrated-meat-and-vegetables-with-fat-broth-stock,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:chicken-soups,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:chorba-frik-soup-with-meat-and-frik,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:offals-soup,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:reheatable-mixed-vegetables-soup,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750211790813,To do,
en:dehydrated-mixed-vegetables-soup,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:canned-herrings,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750571001413,To do,
en:herring,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750616001651,To do,
en:atlantic-herring,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:smoked-atlantic-herring-fillet,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:smoked-fishes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750616001651,To do,
en:raisins,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4752050212235,To do,
en:fruits-compote-with-reduced-sugar,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:refrigerated-fruits-compote-with-reduced-sugar,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:compotes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:apple-compotes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:Compotes sans sucres,Latvia,en:latvia,lv,0,Yes,Categorize existing one,,To do,
en:light-compotes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:strawberry-compotes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:jams,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4751017940631,To do,
en:mixed-dried-fruits,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:fruit-juices,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750042804284,To do,
en:fruit-nectars,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750042001737,To do,
en:apple-juices,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750169000156,To do,
en:orange-juices,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:tomato-juices,Latvia,en:latvia,lv,1,Yes,Categorize existing one,20900564,To do,
en:rye-breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750192731591,To do,
en:rye-and-wheat-breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750176000859,To do,
en:breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750212900754,To do,
en:breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750212900754,To do,
en:Pains multicéréales,Latvia,en:latvia,lv,0,Yes,Categorize existing one,,To do,
en:rye-breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750192731591,To do,
en:wheat-breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750212903021,To do,
en:breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4750212900754,To do,
en:cooked-oat-flakes,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:special-breads,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:hamburger-buns,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:Sablés au beurre,Latvia,en:latvia,lv,0,Yes,Categorize existing one,,To do,
en:cream-pies,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
