Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,75013769,To do,
en:light-beers,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:butters,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,2098765642717,To do,
en:margarines,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4820245523067,To do,
en:fruit-teas,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770161102603,To do,
en:herbal-teas,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770161102603,To do,
en:herbal-teas,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770161102603,To do,
en:teas,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4056489914990,To do,
en:meat-balls,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770118403265,To do,
en:stews,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,2904838000011,To do,
en:pan-fried-vegetables,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:sauteed-potatoes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:fresh-cooked-unsalted-egg-pasta,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:mashed-potatoes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:rostis,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:soups,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,8801073116467,To do,
en:mutton-broth,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:poultry-broth,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:veal-stock,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:liquid-chicken-broths,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:beef-broth,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:chicken-and-vegetables-soup,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:dehydrated-broth-with-meat-and-vegetables,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:dehydrated-meat-and-vegetables-broth-stock,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:dehydrated-meat-and-vegetables-with-fat-broth-stock,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:chicken-soups,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:chorba-frik-soup-with-meat-and-frik,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:offals-soup,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:reheatable-mixed-vegetables-soup,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:dehydrated-mixed-vegetables-soup,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:herring,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,20544508,To do,
en:canned-herrings,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:atlantic-herring,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:smoked-atlantic-herring-fillet,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:smoked-fishes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,3337740046478,To do,
en:raisins,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:fruits-compote-with-reduced-sugar,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:refrigerated-fruits-compote-with-reduced-sugar,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:compotes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:apple-compotes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:Compotes sans sucres,Lithuania,en:lithuania,lt,0,Yes,Categorize existing one,,To do,
en:light-compotes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:strawberry-compotes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:jams,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770583207894,To do,
en:mixed-dried-fruits,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:fruit-juices,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4750042804208,To do,
en:fruit-nectars,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4750042302698,To do,
en:orange-juices,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4750042804208,To do,
en:rye-breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,20507336,To do,
en:rye-and-wheat-breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770350141185,To do,
en:breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770163201236,To do,
en:breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770163201236,To do,
en:Pains multicéréales,Lithuania,en:lithuania,lt,0,Yes,Categorize existing one,,To do,
en:rye-breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,20507336,To do,
en:wheat-breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4056489018636,To do,
en:breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770163201236,To do,
en:cooked-oat-flakes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:special-breads,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:hamburger-buns,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:Sablés au beurre,Lithuania,en:lithuania,lt,0,Yes,Categorize existing one,,To do,
en:cream-pies,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:fruit-tarts,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:pancakes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,20955564,To do,
en:brioches,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770163837695,To do,
en:Gâches,Lithuania,en:lithuania,lt,0,Yes,Categorize existing one,,To do,
en:canned-peas,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,3083680047364,To do,
en:peppers,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,,To do,
en:pork-and-its-products,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,20360863,To do,
en:white-hams,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:cured-hams,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:hams,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,20377960,To do,
en:dry-sausages,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:frankfurter-sausages,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:mortadella,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:lithuanian-curd-cheese,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,2141520002353,To do,
en:cheeses,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,4770207042795,To do,
en:uncooked-pressed-cheeses,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,20093341,To do,
en:hard-cheeses,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,,To do,
en:semi-cured-cheese,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,,To do,
en:hard-cheeses,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,,To do,
en:kefir,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,4056489642763,To do,
en:sour-creams,Lithuania,en:lithuania,lt,1,Maybe,Categorize existing one,20957186,To do,
en:flavoured-yogurts,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:creams,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,20957186,To do,
en:gravy,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:mayonnaises,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,8720182083203,To do,
en:ketchup,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,8715700016504,To do,
en:vinegars,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,6970606997094,To do,
en:white-butter-sauces,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:meats-and-their-products,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4770118403265,To do,
en:bouillon-cubes,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:spice-mix,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,4740018170017,To do,
en:chocolates,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,3046920028363,To do,
en:bonbons,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,8000500023976,To do,
en:milk-chocolates,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,1230000168045,To do,
en:sauerkrauts,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:colas,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,5449000000996,To do,
en:carbonated-soft-drinks-without-fruit-juice,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
