Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:non-alcoholic-beers,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5410263929386,To do,
en:industrial-beer,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:dark-ales,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,54055315,To do,
en:lagers,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5450154013015,To do,
en:pale-ales,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:commandaria,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:commandaria,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
hr:vino-marsala,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:madeira-wine,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:sherry,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:white-ports,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:red-ports,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:fortified-wines,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:liqueurs,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:soy-based-drinks,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5411188115496,To do,
en:frying-oil,Luxembourg,en:luxembourg,lu,1,Maybe,Categorize existing one,,To do,
en:butters,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5450168521056,To do,
en:fermented-teas,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,3057640508813,To do,
en:herbal-teas,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,3057640508813,To do,
en:flavored-teas,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,3251223002457,To do,
en:frozen-deep-fried-french-fries,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:canned-diced-mixed-vegetables,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:cooked-unsalted-dried-pasta,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:pizzas,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,3350031937736,To do,
en:mashed-potatoes,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,4000400124968,To do,
en:wraps,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5425015408187,To do,
en:potato-crisps,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5450322025444,To do,
en:vegetable-salads,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,9977739,To do,
en:reheatable-mixed-vegetables-soup,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:salads-with-meat,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5400119592901,To do,
en:prepared-salads,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5407009901584,To do,
en:salads-with-fish,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5400501951293,To do,
en:canned-tunas,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,4061458020244,To do,
en:smoked-salmons,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5400141562668,To do,
en:apple-compotes,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,3760324840559,To do,
en:strawberry-jams,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,8723700213663,To do,
en:olives,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,3076820007243,To do,
en:apple-juices,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5034033000220,To do,
en:multifruit-juices,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,3770006565120,To do,
en:orange-juices,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5400501301081,To do,
