Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:lagers,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:margarines,Malta,en:malta,mt,1,Yes,Categorize existing one,9716000264069,To do,
en:butters,Malta,en:malta,mt,1,Yes,Categorize existing one,5350066180105,To do,
en:herbal-teas,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:teas,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:canned-tunas,Malta,en:malta,mt,1,Yes,Categorize existing one,8004320003033,To do,
en:squid,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:jams,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:stuffed-olives,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:lemon-juice,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:orange-juices,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:tomato-juices,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:crispbreads,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:rusks,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:pitas,Malta,en:malta,mt,1,Yes,Categorize existing one,5351908000018,To do,
en:frozen-pre-baked-pitas,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:frozen-pre-baked-hamburger-buns,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:hamburger-buns,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:wholemeal-breads,Malta,en:malta,mt,1,Yes,Categorize existing one,5351908001916,To do,
en:breads,Malta,en:malta,mt,1,Yes,Categorize existing one,4056489892649,To do,
en:wholemeal-sliced-breads,Malta,en:malta,mt,1,Yes,Categorize existing one,5351908000070,To do,
en:whole-wheat-english-muffins,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:wholemeal-breads,Malta,en:malta,mt,1,Yes,Categorize existing one,5351908001916,To do,
en:breads,Malta,en:malta,mt,1,Yes,Categorize existing one,4056489892649,To do,
en:breads,Malta,en:malta,mt,1,Yes,Categorize existing one,4056489892649,To do,
en:wheat-breads,Malta,en:malta,mt,1,Yes,Categorize existing one,5351908000070,To do,
en:mixed-cereal-flakes,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:plain-wheat-biscuits,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:cakes,Malta,en:malta,mt,1,Yes,Categorize existing one,7071864009129,To do,
en:chocolate-cakes,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:croissant-filled-with-chocolate,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:,Malta,en:malta,mt,0,Yes,Categorize existing one,,To do,
en:wafers,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:dry-pastas,Malta,en:malta,mt,1,Yes,Categorize existing one,8076808150072,To do,
en:unleavened-breads,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:turkey-salami,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:cured-hams,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:hams,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:dry-sausages,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:edam,Malta,en:malta,mt,1,Maybe,Categorize existing one,,To do,
en:feta,Malta,en:malta,mt,1,Maybe,Categorize existing one,,To do,
en:cheeses,Malta,en:malta,mt,1,Maybe,Categorize existing one,20428747,To do,
en:goat-cheeses,Malta,en:malta,mt,1,Maybe,Categorize existing one,,To do,
en:halloumi,Malta,en:malta,mt,1,Maybe,Categorize existing one,,To do,
en:ice-creams,Malta,en:malta,mt,1,Yes,Categorize existing one,8712566342167,To do,
en:faisselles,Malta,en:malta,mt,1,Maybe,Categorize existing one,,To do,
en:plain-cow-milk-yogurts,Malta,en:malta,mt,1,Maybe,Categorize existing one,,To do,
en:balsamic-vinegars,Malta,en:malta,mt,1,Yes,Categorize existing one,5352001018207,To do,
en:mustard-sauces,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:ketchup,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:vinegars,Malta,en:malta,mt,1,Yes,Categorize existing one,5352001018207,To do,
en:milk-chocolates,Malta,en:malta,mt,1,Yes,Categorize existing one,5034660521877,To do,
en:canned-tomatoes,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:tomato-pastes,Malta,en:malta,mt,1,Yes,Categorize existing one,5352001002497,To do,
en:colas,Malta,en:malta,mt,1,Yes,Categorize existing one,5352201084118,To do,
en:energy-drinks,Malta,en:malta,mt,1,Yes,Categorize existing one,8053626291415,To do,
en:carbonated-soft-drinks-without-fruit-juice,Malta,en:malta,mt,1,Yes,Categorize existing one,56953985,To do,
