Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:industrial-beer,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:margarines,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:flavored-teas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:bean-dishes,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:cheese-pies,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:dolmas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:potato-fries,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:moussaka,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:pasta-dishes,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,3850104230943,To do,
en:pizzas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:mashed-potatoes,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:rice-flours,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:salted-pies,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:vegetables-based-foods,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,3830003051184,To do,
en:potato-crisps,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,3856021304668,To do,
en:chicken-and-vegetables-soup,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:mutton-broth,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:poultry-broth,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:veal-stock,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:liquid-chicken-broths,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:beef-broth,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:chicken-and-vegetables-soup,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:dehydrated-broth-with-meat-and-vegetables,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:dehydrated-meat-and-vegetables-broth-stock,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:dehydrated-meat-and-vegetables-with-fat-broth-stock,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:chicken-soups,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:chorba-frik-soup-with-meat-and-frik,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:offals-soup,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:leaf-salads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:canned-tunas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:fruit-nectars,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:fruit-smoothies,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:orange-juices,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8606107032658,To do,
en:tomato-juices,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:multifruit-nectars,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:apple-nectars,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:orange-nectars,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:breads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,7300400112734,To do,
en:Pains multicéréales,Montenegro,en:montenegro,me,0,Yes,Categorize existing one,,To do,
en:breads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,7300400112734,To do,
en:wholemeal-breads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:wholemeal-sliced-breads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:whole-wheat-english-muffins,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:breads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,7300400112734,To do,
en:wheat-breads,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:porridge,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8606012145795,To do,
en:chocolate-biscuits,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8600043005059,To do,
en:croissants,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:doughnuts,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:fruit-cakes,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:pancakes,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:dry-egg-pastas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8076800376999,To do,
en:phyllo-dough,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:peppers,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:bacon,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:white-hams,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:hams,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,3850139250671,To do,
en:Budapesti téliszalámi,Montenegro,en:montenegro,me,0,Yes,Categorize existing one,,To do,
en:edam,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:emmentaler,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:feta,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:cornish-clotted-cream,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:cottage-cheeses,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:ricotta,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:brined-cheeses,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:mozzarella,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:sour-creams,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:soured-milk-quark,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:yogurt-drinks,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8601500111207,To do,
en:plain-cow-milk-yogurts,Montenegro,en:montenegro,me,1,Maybe,Categorize existing one,,To do,
en:baker-s-yeast,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:baker-s-yeast-compressed,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:yeast,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:mayonnaises,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8600498176359,To do,
en:ketchup,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8600005000016,To do,
en:cider-vinegars,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:mixtures-of-herbs-and-spices,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:milk-chocolates,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,7622201105747,To do,
en:dried-vegetables,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:pickled-gherkins,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:sauerkrauts,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:canned-tomato-purees,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:colas,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:energy-drinks,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,8600037034119,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
