Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:sandwiches,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,2260502003505,To do,
en:non-alcoholic-beers,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8712000058616,To do,
en:industrial-beer,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,7501064191466,To do,
en:strong-beers,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8710956001328,To do,
en:beer-based-alcoholic-beverages,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8712000060671,To do,
en:wheat-beers,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,4066600641964,To do,
en:soy-based-drinks,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,5411188115496,To do,
en:frying-oil,Netherlands,en:netherlands,nl,1,Maybe,Categorize existing one,,To do,
en:margarines,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8719200250444,To do,
en:butters,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,5740900401372,To do,
en:margarines,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8719200250444,To do,
en:fermented-teas,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,4751037280298,To do,
en:fruit-teas,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8718907437769,To do,
en:herbal-teas,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8711000008775,To do,
en:herbal-teas,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8711000008775,To do,
en:rooibos,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8711000008775,To do,
en:flavored-teas,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8711000484302,To do,
en:appetizers,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8710398526014,To do,
en:potato-fries,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8710449919437,To do,
en:meals-with-meat,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,4016337960074,To do,
en:canned-diced-mixed-vegetables,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,,To do,
en:sauteed-potatoes,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,,To do,
en:pasta-dishes,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8721161411444,To do,
en:potato-dishes,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8718989047979,To do,
en:sandwiches,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,2260502003505,To do,
en:potato-crisps,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8710398160881,To do,
en:reheatable-mixed-vegetables-soup,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,,To do,
en:prepared-salads,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8710506084443,To do,
