Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:strong-beers,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:liqueurs,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:butter-and-margarine-mix,Norway,en:norway,no,1,Maybe,Categorize existing one,7033330013245,To do,
en:30-40-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Maybe,Categorize existing one,,To do,
en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Maybe,Categorize existing one,,To do,
en:50-63-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Maybe,Categorize existing one,,To do,
en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Maybe,Categorize existing one,,To do,
en:butters,Norway,en:norway,no,1,Yes,Categorize existing one,7038010010187,To do,
en:butter-and-margarine-mix,Norway,en:norway,no,1,Yes,Categorize existing one,7033330013245,To do,
en:30-40-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:50-63-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:margarines,Norway,en:norway,no,1,Yes,Categorize existing one,7033330013245,To do,
en:teas,Norway,en:norway,no,1,Yes,Categorize existing one,5063270101766,To do,
en:meals-with-shellfish,Norway,en:norway,no,1,Yes,Categorize existing one,7036110211251,To do,
en:potato-fries,Norway,en:norway,no,1,Yes,Categorize existing one,7032069726532,To do,
en:crisps,Norway,en:norway,no,1,Yes,Categorize existing one,7071688004713,To do,
en:prepared-salads,Norway,en:norway,no,1,Yes,Categorize existing one,7032069739761,To do,
en:fish-rillettes,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:smoked-salmons,Norway,en:norway,no,1,Yes,Categorize existing one,7023539700718,To do,
en:canned-fruits,Norway,en:norway,no,1,Yes,Categorize existing one,7025110077691,To do,
en:olives,Norway,en:norway,no,1,Yes,Categorize existing one,7032069719534,To do,
en:juices-and-nectars,Norway,en:norway,no,1,Yes,Categorize existing one,7032069711439,To do,
en:fruit-juices,Norway,en:norway,no,1,Yes,Categorize existing one,7025110218575,To do,
en:orange-juices,Norway,en:norway,no,1,Yes,Categorize existing one,7032069711439,To do,
en:unleavened-breads,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:wholemeal-sliced-breads,Norway,en:norway,no,1,Yes,Categorize existing one,7314320041067,To do,
en:wholemeal-breads,Norway,en:norway,no,1,Yes,Categorize existing one,7032069715543,To do,
en:breads,Norway,en:norway,no,1,Yes,Categorize existing one,7300400129459,To do,
en:whole-wheat-english-muffins,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:wholemeal-breads,Norway,en:norway,no,1,Yes,Categorize existing one,7032069715543,To do,
en:breads,Norway,en:norway,no,1,Yes,Categorize existing one,7300400129459,To do,
en:breads,Norway,en:norway,no,1,Yes,Categorize existing one,7300400129459,To do,
en:wheat-breads,Norway,en:norway,no,1,Yes,Categorize existing one,7311311021169,To do,
en:mueslis,Norway,en:norway,no,1,Yes,Categorize existing one,7039010578530,To do,
en:filled-biscuits,Norway,en:norway,no,1,Yes,Categorize existing one,7090054420490,To do,
en:cakes,Norway,en:norway,no,1,Yes,Categorize existing one,7311070006209,To do,
en:waffles,Norway,en:norway,no,1,Yes,Categorize existing one,7037610232104,To do,
en:pastas,Norway,en:norway,no,1,Yes,Categorize existing one,8076800105056,To do,
en:cured-hams,Norway,en:norway,no,1,Yes,Categorize existing one,7058040459701,To do,
en:brunost,Norway,en:norway,no,1,Maybe,Categorize existing one,7034280003034,To do,
en:cheeses,Norway,en:norway,no,1,Maybe,Categorize existing one,7038010054471,To do,
en:fresh-cheeses,Norway,en:norway,no,1,Maybe,Categorize existing one,7038010054471,To do,
en:mozzarella,Norway,en:norway,no,1,Maybe,Categorize existing one,7035620026416,To do,
en:quarks,Norway,en:norway,no,1,Maybe,Categorize existing one,7038010000737,To do,
en:dairy-desserts,Norway,en:norway,no,1,Yes,Categorize existing one,7038010054471,To do,
en:ice-creams,Norway,en:norway,no,1,Yes,Categorize existing one,7037210119256,To do,
en:Filmjölk med frukt,Norway,en:norway,no,0,Maybe,Categorize existing one,,To do,
en:plain-cow-milk-yogurts,Norway,en:norway,no,1,Maybe,Categorize existing one,7025110218780,To do,
en:flavoured-milks,Norway,en:norway,no,1,Yes,Categorize existing one,7038010004261,To do,
en:dietary-supplements,Norway,en:norway,no,1,Yes,Categorize existing one,7090020126791,To do,
en:multivitamin-and-mineral-supplements,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:mayonnaises,Norway,en:norway,no,1,Yes,Categorize existing one,7036110006086,To do,
en:hollandaise-sauce,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:salad-dressings,Norway,en:norway,no,1,Yes,Categorize existing one,5000184321064,To do,
en:sauces,Norway,en:norway,no,1,Yes,Categorize existing one,7039010081320,To do,
en:cocoa-and-its-products,Norway,en:norway,no,1,Yes,Categorize existing one,7622400928727,To do,
en:canned-vegetables,Norway,en:norway,no,1,Yes,Categorize existing one,7032069718131,To do,
en:plant-based-foods,Norway,en:norway,no,1,Yes,Categorize existing one,7036110008844,To do,
en:plant-based-foods,Norway,en:norway,no,1,Maybe,Categorize existing one,7036110008844,To do,
en:still-fruit-soft-drink-with-less-than-10-of-fruit-juice-without-sugar-and-with-artificial-sweeteners,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:uncooked-pressed-cheeses,Norway,en:norway,no,1,Maybe,Categorize existing one,8718627825303,To do,
en:hard-cheeses,Norway,en:norway,no,1,Maybe,Categorize existing one,8010721001509,To do,
en:semi-cured-cheese,Norway,en:norway,no,1,Maybe,Categorize existing one,,To do,
en:fruit-confectioneries,Norway,en:norway,no,1,Yes,Categorize existing one,7032069105528,To do,
en:fruit-and-vegetable-preserves,Norway,en:norway,no,1,Yes,Categorize existing one,7070841001767,To do,
en:fruits-based-foods,Norway,en:norway,no,1,Yes,Categorize existing one,7090046311683,To do,
en:dried-fruits,Norway,en:norway,no,1,Yes,Categorize existing one,7090046311683,To do,
en:fruit-chutneys,Norway,en:norway,no,1,Yes,Categorize existing one,7311310034061,To do,
en:frozen-fruits,Norway,en:norway,no,1,Yes,Categorize existing one,7032069718711,To do,
en:fruit-pastes,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:candied-fruits,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:pickled-fruits,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:fruit-sauces,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:fruits-coulis,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:dried-vegetables,Norway,en:norway,no,1,Yes,Categorize existing one,7032069755419,To do,
en:vegetables-based-foods,Norway,en:norway,no,1,Yes,Categorize existing one,7041710920007,To do,
en:frozen-mixed-vegetables,Norway,en:norway,no,1,Yes,Categorize existing one,7032069718452,To do,
en:frozen-vegetables,Norway,en:norway,no,1,Yes,Categorize existing one,7035620024153,To do,
en:vegetable-soups,Norway,en:norway,no,1,Yes,Categorize existing one,7037610221443,To do,
en:prepared-vegetables,Norway,en:norway,no,1,Yes,Categorize existing one,7039010012980,To do,
en:freeze-dried-vegetables,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:dried-vegetables,Norway,en:norway,no,1,Maybe,Categorize existing one,7032069755419,To do,
en:vegetables-based-foods,Norway,en:norway,no,1,Maybe,Categorize existing one,7041710920007,To do,
