Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:lagers,Poland,en:poland,pl,1,Yes,Categorize existing one,5901359000237,To do,
en:margarines,Poland,en:poland,pl,1,Yes,Categorize existing one,8719200286641,To do,
en:butters,Poland,en:poland,pl,1,Yes,Categorize existing one,5900512300108,To do,
en:fermented-teas,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:fruit-teas,Poland,en:poland,pl,1,Yes,Categorize existing one,5900956006734,To do,
en:herbal-teas,Poland,en:poland,pl,1,Yes,Categorize existing one,5900956002323,To do,
en:egg-sandwiches,Poland,en:poland,pl,1,Yes,Categorize existing one,8586020103553,To do,
en:fried-egg,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:poached-eggs,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:scrambled-egg,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:soft-boiled-eggs,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:fritter-filled-with-eggs,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:omelettes,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Poland,en:poland,pl,1,Yes,Categorize existing one,3245413532466,To do,
en:pasta-dishes,Poland,en:poland,pl,1,Yes,Categorize existing one,5901398069974,To do,
en:pizzas,Poland,en:poland,pl,1,Yes,Categorize existing one,20490706,To do,
en:vegetables-based-foods,Poland,en:poland,pl,1,Yes,Categorize existing one,5901713020307,To do,
en:chicken-and-vegetables-soup,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Poland,en:poland,pl,1,Yes,Categorize existing one,5902166397862,To do,
en:reheatable-mixed-vegetables-soup,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:tomato-soups,Poland,en:poland,pl,1,Yes,Categorize existing one,5907180333568,To do,
en:smoked-mackerels,Poland,en:poland,pl,1,Yes,Categorize existing one,5903895637441,To do,
en:apple-compotes,Poland,en:poland,pl,1,Yes,Categorize existing one,5901958612404,To do,
en:pear-compotes,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:pear-applesauces,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:fruits-compote-with-reduced-sugar,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:refrigerated-fruits-compote-with-reduced-sugar,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:Compotes pommes cerise,Poland,en:poland,pl,0,Yes,Categorize existing one,,To do,
en:apple-juices,Poland,en:poland,pl,1,Yes,Categorize existing one,5900334012753,To do,
en:lemon-juice,Poland,en:poland,pl,1,Yes,Categorize existing one,8009004908499,To do,
en:orange-juices,Poland,en:poland,pl,1,Yes,Categorize existing one,5900334012685,To do,
en:bread-crumbs,Poland,en:poland,pl,1,Yes,Categorize existing one,5900697040172,To do,
en:breads,Poland,en:poland,pl,1,Yes,Categorize existing one,5900320001303,To do,
en:rye-breads,Poland,en:poland,pl,1,Yes,Categorize existing one,4056489189121,To do,
en:rye-and-wheat-breads,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:rye-breads,Poland,en:poland,pl,1,Yes,Categorize existing one,4056489189121,To do,
en:wholemeal-sliced-breads,Poland,en:poland,pl,1,Yes,Categorize existing one,5905279941229,To do,
en:breads,Poland,en:poland,pl,1,Yes,Categorize existing one,5900320001303,To do,
en:wholemeal-breads,Poland,en:poland,pl,1,Yes,Categorize existing one,4061461077563,To do,
en:whole-wheat-english-muffins,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:wheat-breads,Poland,en:poland,pl,1,Yes,Categorize existing one,5900928089390,To do,
en:breads,Poland,en:poland,pl,1,Yes,Categorize existing one,5900320001303,To do,
en:instant-porridges-with-milk-powder,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:hamburger-buns,Poland,en:poland,pl,1,Yes,Categorize existing one,5907653104725,To do,
en:special-breads,Poland,en:poland,pl,1,Yes,Categorize existing one,20417673,To do,
en:sweet-dumpling-squashes,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:pancakes,Poland,en:poland,pl,1,Yes,Categorize existing one,5903890433338,To do,
en:dry-egg-pastas,Poland,en:poland,pl,1,Yes,Categorize existing one,5908310960210,To do,
en:fresh-egg-pasta,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:gnocchi,Poland,en:poland,pl,1,Yes,Categorize existing one,4335619243156,To do,
en:canned-common-beans,Poland,en:poland,pl,1,Yes,Categorize existing one,4056489666028,To do,
en:canned-green-beans,Poland,en:poland,pl,1,Yes,Categorize existing one,3083680072694,To do,
en:cooked-french-beans,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:cooked-haricot-beans,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:cooked-french-beans,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:white-hams,Poland,en:poland,pl,1,Yes,Categorize existing one,5900567015613,To do,
en:hams,Poland,en:poland,pl,1,Yes,Categorize existing one,5900567015613,To do,
en:black-pudding,Poland,en:poland,pl,1,Yes,Categorize existing one,5903111926588,To do,
en:Boudins,Poland,en:poland,pl,0,Yes,Categorize existing one,,To do,
en:sausages,Poland,en:poland,pl,1,Yes,Categorize existing one,5906712808277,To do,
en:frankfurter-sausages,Poland,en:poland,pl,1,Yes,Categorize existing one,5908230511141,To do,
en:cheesecakes,Poland,en:poland,pl,1,Yes,Categorize existing one,5905398585410,To do,
en:lithuanian-curd-cheese,Poland,en:poland,pl,1,Maybe,Categorize existing one,,To do,
en:gouda,Poland,en:poland,pl,1,Maybe,Categorize existing one,5900820005504,To do,
en:cottage-cheeses,Poland,en:poland,pl,1,Maybe,Categorize existing one,5900531000010,To do,
en:sour-creams,Poland,en:poland,pl,1,Maybe,Categorize existing one,5900531001130,To do,
en:flavoured-yogurts,Poland,en:poland,pl,1,Yes,Categorize existing one,5900197027956,To do,
en:plain-cow-milk-yogurts,Poland,en:poland,pl,1,Maybe,Categorize existing one,,To do,
en:baker-s-yeast,Poland,en:poland,pl,1,Yes,Categorize existing one,59029038,To do,
en:yeast,Poland,en:poland,pl,1,Yes,Categorize existing one,59029038,To do,
en:baker-s-yeast-compressed,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:mayonnaises,Poland,en:poland,pl,1,Yes,Categorize existing one,5900085011012,To do,
en:ketchup,Poland,en:poland,pl,1,Yes,Categorize existing one,5900385012573,To do,
en:bonbons,Poland,en:poland,pl,1,Yes,Categorize existing one,5903189076314,To do,
en:double-concentrate-tomato-paste,Poland,en:poland,pl,1,Yes,Categorize existing one,,To do,
en:sauerkrauts,Poland,en:poland,pl,1,Yes,Categorize existing one,5907751159146,To do,
en:colas,Poland,en:poland,pl,1,Yes,Categorize existing one,5000112651355,To do,
en:carbonated-fruit-soft-drink,Poland,en:poland,pl,1,Yes,Categorize existing one,5900334027573,To do,
en:orange-soft-drinks,Poland,en:poland,pl,1,Yes,Categorize existing one,5449000138170,To do,
