Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Portugal,en:portugal,pt,1,Yes,Categorize existing one,56002621,To do,
en:soy-based-drinks,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480017001627,To do,
en:margarines,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5411188114390,To do,
en:butters,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601049614330,To do,
en:camomile-teas,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000111685,To do,
en:fermented-teas,Portugal,en:portugal,pt,1,Yes,Categorize existing one,4056489965923,To do,
en:fruit-teas,Portugal,en:portugal,pt,1,Yes,Categorize existing one,20189242,To do,
en:herbal-teas,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000111685,To do,
en:herbal-teas,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000111685,To do,
en:teas,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8402001034992,To do,
en:egg-sandwiches,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:fried-egg,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:poached-eggs,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:scrambled-egg,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:soft-boiled-eggs,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:fritter-filled-with-eggs,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:omelettes,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:meals-with-shellfish,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:potato-fries,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601312509530,To do,
en:stews,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:canned-diced-mixed-vegetables,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:fresh-cooked-unsalted-egg-pasta,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:potato-dishes,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:potato-dishes,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:vegetable-risottos,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601312102977,To do,
en:rice-dishes,Portugal,en:portugal,pt,1,Yes,Categorize existing one,3083681163155,To do,
en:vegetables-based-foods,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5607238033845,To do,
en:vegetable-salads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:reheatable-mixed-vegetables-soup,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:canned-tunas,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601029004014,To do,
en:salted-dried-cod,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:common-octopus,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601312101765,To do,
en:stuffed-olives,Portugal,en:portugal,pt,1,Yes,Categorize existing one,20076313,To do,
en:lemon-juice,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000049032,To do,
en:orange-juices,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601151966242,To do,
en:multifruit-nectars,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601151983225,To do,
en:breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8710482532303,To do,
en:bread-rolls,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8710482532303,To do,
en:breads-with-seeds,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:Pains multicéréales,Portugal,en:portugal,pt,0,Yes,Categorize existing one,,To do,
en:breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8710482532303,To do,
en:wheat-breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000809421,To do,
en:breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8710482532303,To do,
en:wholemeal-breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000823281,To do,
en:wholemeal-sliced-breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000823281,To do,
en:whole-wheat-english-muffins,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Portugal,en:portugal,pt,1,Yes,Categorize existing one,,To do,
en:breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8710482532303,To do,
en:wheat-breads,Portugal,en:portugal,pt,1,Yes,Categorize existing one,8480000809421,To do,
en:extruded-cereals,Portugal,en:portugal,pt,1,Yes,Categorize existing one,5601001187803,To do,
