Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:industrial-beer,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:butters,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489108375,To do,
en:herbal-teas,Romania,en:romania,ro,1,Yes,Categorize existing one,5941141222546,To do,
en:teas,Romania,en:romania,ro,1,Yes,Categorize existing one,5942325003364,To do,
en:flavored-teas,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:dolmas,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:potato-fries,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489150398,To do,
en:meals-with-meat,Romania,en:romania,ro,1,Yes,Categorize existing one,5941341032525,To do,
en:pasta-dishes,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489412304,To do,
en:potato-dishes,Romania,en:romania,ro,1,Yes,Categorize existing one,4045800460001,To do,
en:mashed-potatoes,Romania,en:romania,ro,1,Yes,Categorize existing one,8001080030743,To do,
en:vegetables-based-foods,Romania,en:romania,ro,1,Yes,Categorize existing one,8715700421469,To do,
en:moroccan-soups,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:chicken-and-vegetables-soup,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:canned-soups,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:dehydrated-soup-with-chicken-and-vegetables,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:offals-soup,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:chicken-soups,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:dehydrated-soup-with-chicken-and-vegetables,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489165385,To do,
en:reheatable-mixed-vegetables-soup,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:jams,Romania,en:romania,ro,1,Yes,Categorize existing one,5014271310428,To do,
en:stuffed-olives,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:lemon-juice,Romania,en:romania,ro,1,Yes,Categorize existing one,20019907,To do,
en:orange-juices,Romania,en:romania,ro,1,Yes,Categorize existing one,20690755,To do,
en:bread-crumbs,Romania,en:romania,ro,1,Yes,Categorize existing one,7622202015007,To do,
en:rye-breads,Romania,en:romania,ro,1,Yes,Categorize existing one,4009176517974,To do,
en:wholemeal-sliced-breads,Romania,en:romania,ro,1,Yes,Categorize existing one,6421882000225,To do,
en:breads,Romania,en:romania,ro,1,Yes,Categorize existing one,5941143015740,To do,
en:wholemeal-breads,Romania,en:romania,ro,1,Yes,Categorize existing one,5941143015740,To do,
en:whole-wheat-english-muffins,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:breads,Romania,en:romania,ro,1,Yes,Categorize existing one,5941143015740,To do,
en:wheat-breads,Romania,en:romania,ro,1,Yes,Categorize existing one,5941143015740,To do,
en:mixed-cereal-flakes,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:Sablés au beurre,Romania,en:romania,ro,0,Yes,Categorize existing one,,To do,
en:cream-pies,Romania,en:romania,ro,1,Yes,Categorize existing one,5202535477011,To do,
en:fruit-cakes,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:pastries,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489182528,To do,
en:bread-pretzels,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:danish-style-rye-breads,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:dry-pastas,Romania,en:romania,ro,1,Yes,Categorize existing one,8076800195057,To do,
en:cellophane-noodles,Romania,en:romania,ro,1,Yes,Categorize existing one,9120012040137,To do,
en:canned-peas,Romania,en:romania,ro,1,Yes,Categorize existing one,3083680004275,To do,
en:canned-common-beans,Romania,en:romania,ro,1,Yes,Categorize existing one,3083680009508,To do,
en:canned-broad-beans,Romania,en:romania,ro,1,Yes,Categorize existing one,3083681003925,To do,
en:canned-flat-green-beans,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:bacon,Romania,en:romania,ro,1,Maybe,Categorize existing one,4056489294153,To do,
en:hams,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489114710,To do,
en:sausage-meat,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:salami,Romania,en:romania,ro,1,Yes,Categorize existing one,5941265000419,To do,
en:Caciocavallo Silano,Romania,en:romania,ro,0,Maybe,Categorize existing one,,To do,
en:Telemea de Ibăneşti,Romania,en:romania,ro,0,Maybe,Categorize existing one,,To do,
en:cottage-cheeses,Romania,en:romania,ro,1,Maybe,Categorize existing one,20051921,To do,
en:mozzarella,Romania,en:romania,ro,1,Maybe,Categorize existing one,4056489126874,To do,
en:plain-cow-milk-yogurts,Romania,en:romania,ro,1,Maybe,Categorize existing one,,To do,
en:fermented-foods,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489143833,To do,
en:fermented-foods,Romania,en:romania,ro,1,Yes,Categorize existing one,4056489143833,To do,
en:fermented-drinks,Romania,en:romania,ro,1,Yes,Categorize existing one,4025500186821,To do,
en:mayonnaises,Romania,en:romania,ro,1,Yes,Categorize existing one,8720182088376,To do,
en:mustard-sauces,Romania,en:romania,ro,1,Yes,Categorize existing one,5941486004784,To do,
en:mustards,Romania,en:romania,ro,1,Yes,Categorize existing one,5941486004142,To do,
en:vinegars,Romania,en:romania,ro,1,Yes,Categorize existing one,8032754439227,To do,
en:white-chocolates,Romania,en:romania,ro,1,Yes,Categorize existing one,8000500359556,To do,
en:pickled-gherkins,Romania,en:romania,ro,1,Yes,Categorize existing one,4063367343155,To do,
