Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:industrial-beer,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:margarines,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8600498172016,To do,
en:camomile-teas,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Serbia,en:serbia,rs,1,Yes,Categorize existing one,5900396024039,To do,
en:flavored-teas,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:vegetable-sauces,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:canned-tunas,Serbia,en:serbia,rs,1,Yes,Categorize existing one,3800078011574,To do,
en:mixed-fruit-jams,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8600197349221,To do,
en:fruit-nectars,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8606004250308,To do,
en:fruit-smoothies,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:orange-juices,Serbia,en:serbia,rs,1,Yes,Categorize existing one,3850322014981,To do,
en:tomato-juices,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:multifruit-nectars,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:apple-nectars,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8606004250308,To do,
en:breads,Serbia,en:serbia,rs,1,Yes,Categorize existing one,4056489983507,To do,
en:Pains multicéréales,Serbia,en:serbia,rs,0,Yes,Categorize existing one,,To do,
en:wholemeal-breads,Serbia,en:serbia,rs,1,Yes,Categorize existing one,20051426,To do,
en:wholemeal-sliced-breads,Serbia,en:serbia,rs,1,Yes,Categorize existing one,20051426,To do,
en:breads,Serbia,en:serbia,rs,1,Yes,Categorize existing one,4056489983507,To do,
en:whole-wheat-english-muffins,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:wheat-breads,Serbia,en:serbia,rs,1,Yes,Categorize existing one,4056489018636,To do,
en:breads,Serbia,en:serbia,rs,1,Yes,Categorize existing one,4056489983507,To do,
en:porridge,Serbia,en:serbia,rs,1,Yes,Categorize existing one,3856020264789,To do,
en:chocolate-biscuits,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8600043005059,To do,
en:croissants,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:fruit-cakes,Serbia,en:serbia,rs,1,Yes,Categorize existing one,5400113046783,To do,
en:pancakes,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:wafers,Serbia,en:serbia,rs,1,Yes,Categorize existing one,5201004020338,To do,
en:dry-egg-pastas,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8076800376999,To do,
en:dry-pastas,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8076802085738,To do,
en:phyllo-dough,Serbia,en:serbia,rs,1,Yes,Categorize existing one,8600197111217,To do,
