Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8594404110110,To do,
en:non-alcoholic-beers,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8586001763967,To do,
en:butters,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8588006485127,To do,
en:margarines,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8719200262362,To do,
en:cocoa-powder-for-beverages-with-sugar,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8711000008737,To do,
en:fermented-teas,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:pizzas-pies-and-quiches,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,5901537003142,To do,
en:sandwiches,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8588008810132,To do,
en:focaccia,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:potato-fries,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:sandwiches,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8588008810132,To do,
en:potato-crisps,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8586009039255,To do,
en:canned-fishes,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8004030026018,To do,
en:marinated-mackerel,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:marinated-anchovy-fillets,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:marinated-fish,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:apricots-in-syrup,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:canned-fruits,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,4300175670746,To do,
en:raisins,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8595691007497,To do,
en:jams,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,4056489957973,To do,
en:fruit-and-vegetable-juices,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:bread-crumbs,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:rye-breads,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8594000090649,To do,
en:breads,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8588003676030,To do,
en:rye-and-wheat-breads,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:breads,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8588003676030,To do,
en:Pains multicéréales,Slovakia,en:slovakia,sk,0,Yes,Categorize existing one,,To do,
en:wheat-breads,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,4056489018636,To do,
en:breads,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8588003676030,To do,
en:plain-wheat-biscuits,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:special-breads,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:hamburger-buns,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:cream-pies,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
en:wafers,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8584004040108,To do,
en:dry-pastas,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,20063757,To do,
en:spices,Slovakia,en:slovakia,sk,1,Maybe,Categorize existing one,5900862215718,To do,
en:pork-liver-pates,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,,To do,
