Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:light-beers,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:butters,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,20612610,To do,
en:margarines,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,4088500777192,To do,
en:margarines-with-plant-sterols-esters,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:margarines-high-in-omega-3,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:camomile-teas,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:fruit-teas,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,3838700537123,To do,
en:herbal-teas,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,3838700537123,To do,
en:teas,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,3838700533446,To do,
en:flavored-teas,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,3838700530438,To do,
en:meals,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,4056489606529,To do,
en:egg-sandwiches,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:fried-egg,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:poached-eggs,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:scrambled-egg,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:soft-boiled-eggs,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:fritter-filled-with-eggs,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:omelettes,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:goulash,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:meals-with-meat,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,4056489623199,To do,
en:potato-dishes,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
