Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:beers,Spain,en:spain,es,1,Yes,Categorize existing one,8411327002745,To do,
en:non-alcoholic-beers,Spain,en:spain,es,1,Yes,Categorize existing one,8411327002745,To do,
en:soy-based-drinks,Spain,en:spain,es,1,Yes,Categorize existing one,8480017001627,To do,
en:margarines,Spain,en:spain,es,1,Yes,Categorize existing one,8480000201966,To do,
en:cocoa-powder-for-beverages-with-sugar,Spain,en:spain,es,1,Yes,Categorize existing one,8410014478764,To do,
en:herbal-tea-blends,Spain,en:spain,es,1,Yes,Categorize existing one,8480000111685,To do,
en:herbal-teas,Spain,en:spain,es,1,Yes,Categorize existing one,8480000198129,To do,
en:fruit-teas,Spain,en:spain,es,1,Yes,Categorize existing one,8402001019760,To do,
en:tea-leaves,Spain,en:spain,es,1,Yes,Categorize existing one,8480000114334,To do,
en:flavored-teas,Spain,en:spain,es,1,Yes,Categorize existing one,8480000114334,To do,
en:herbal-tea-beverages,Spain,en:spain,es,1,Yes,Categorize existing one,5021991942433,To do,
en:brewed-infusions-without-sugar,Spain,en:spain,es,1,Yes,Categorize existing one,5021991942433,To do,
en:herbal-tea-beverages,Spain,en:spain,es,1,Yes,Categorize existing one,5021991942433,To do,
en:teas,Spain,en:spain,es,1,Yes,Categorize existing one,8402001034992,To do,
en:coffee-and-tea-variety-packs,Spain,en:spain,es,1,Yes,Categorize existing one,,To do,
en:potato-crisps,Spain,en:spain,es,1,Yes,Categorize existing one,8480000053985,To do,
en:canned-tunas,Spain,en:spain,es,1,Yes,Categorize existing one,8480000180186,To do,
en:mussels,Spain,en:spain,es,1,Yes,Categorize existing one,8480000186157,To do,
en:squid,Spain,en:spain,es,1,Yes,Categorize existing one,8480000187390,To do,
en:apricot-jams,Spain,en:spain,es,1,Yes,Categorize existing one,8480000150684,To do,
en:stuffed-olives,Spain,en:spain,es,1,Yes,Categorize existing one,8480000677174,To do,
en:orange-juices,Spain,en:spain,es,1,Yes,Categorize existing one,8402001014062,To do,
en:pineapple-juices,Spain,en:spain,es,1,Yes,Categorize existing one,8480000399465,To do,
en:bread-crumbs,Spain,en:spain,es,1,Yes,Categorize existing one,8480000229328,To do,
en:wholemeal-rusks,Spain,en:spain,es,1,Yes,Categorize existing one,7300400118118,To do,
en:hamburger-buns,Spain,en:spain,es,1,Yes,Categorize existing one,8480000602510,To do,
en:frozen-pre-baked-hamburger-buns,Spain,en:spain,es,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Spain,en:spain,es,1,Yes,Categorize existing one,,To do,
en:breads,Spain,en:spain,es,1,Yes,Categorize existing one,8480000093691,To do,
en:wholemeal-breads,Spain,en:spain,es,1,Yes,Categorize existing one,8480000093691,To do,
en:wholemeal-sliced-breads,Spain,en:spain,es,1,Yes,Categorize existing one,8480000093691,To do,
en:whole-wheat-english-muffins,Spain,en:spain,es,1,Yes,Categorize existing one,,To do,
en:wholemeal-rolls-for-hamburger,Spain,en:spain,es,1,Yes,Categorize existing one,,To do,
en:wholemeal-hot-dog-buns,Spain,en:spain,es,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,Spain,en:spain,es,1,Yes,Categorize existing one,,To do,
en:wheat-breads,Spain,en:spain,es,1,Yes,Categorize existing one,8480000809421,To do,
en:breads,Spain,en:spain,es,1,Yes,Categorize existing one,8480000093691,To do,
en:extruded-wheat-flakes,Spain,en:spain,es,1,Yes,Categorize existing one,3560070252268,To do,
en:plain-wheat-biscuits,Spain,en:spain,es,1,Yes,Categorize existing one,8434165611405,To do,
en:biscuits,Spain,en:spain,es,1,Yes,Categorize existing one,8480000142139,To do,
en:muffins,Spain,en:spain,es,1,Yes,Categorize existing one,8480000849007,To do,
en:durum-wheat-pasta,Spain,en:spain,es,1,Yes,Categorize existing one,8402001010194,To do,
en:white-hams,Spain,en:spain,es,1,Yes,Categorize existing one,8480000592569,To do,
en:hams,Spain,en:spain,es,1,Yes,Categorize existing one,8480000592569,To do,
en:chorizo,Spain,en:spain,es,1,Yes,Categorize existing one,8480000606990,To do,
en:sausages,Spain,en:spain,es,1,Yes,Categorize existing one,8480000551085,To do,
en:parmigiano-reggiano,Spain,en:spain,es,1,Maybe,Categorize existing one,8008706602285,To do,
en:fresh-cheeses,Spain,en:spain,es,1,Maybe,Categorize existing one,8480000609632,To do,
en:processed-cheese-in-slices,Spain,en:spain,es,1,Maybe,Categorize existing one,4056489091585,To do,
en:ice-creams,Spain,en:spain,es,1,Yes,Categorize existing one,8480000641472,To do,
en:flavoured-yogurts,Spain,en:spain,es,1,Yes,Categorize existing one,8480000213785,To do,
en:plain-cow-milk-yogurts,Spain,en:spain,es,1,Maybe,Categorize existing one,,To do,
en:soy-based-drinks,Spain,en:spain,es,1,Yes,Categorize existing one,8480017001627,To do,
en:mayonnaises,Spain,en:spain,es,1,Yes,Categorize existing one,8410127050819,To do,
en:tomato-sauces,Spain,en:spain,es,1,Yes,Categorize existing one,8480000171320,To do,
en:wine-vinegars,Spain,en:spain,es,1,Yes,Categorize existing one,8480000049407,To do,
en:dark-chocolates,Spain,en:spain,es,1,Yes,Categorize existing one,8480000607225,To do,
en:milk-chocolates,Spain,en:spain,es,1,Yes,Categorize existing one,7613035268388,To do,
en:tomatoes-and-their-products,Spain,en:spain,es,1,Yes,Categorize existing one,8480000171511,To do,
en:canned-sweet-corn,Spain,en:spain,es,1,Yes,Categorize existing one,8480000167149,To do,
en:colas,Spain,en:spain,es,1,Yes,Categorize existing one,5449000131805,To do,
en:carbonated-soft-drinks-without-fruit-juice,Spain,en:spain,es,1,Yes,Categorize existing one,5449000131843,To do,
