Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:industrial-beer,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:strong-beers,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310401006963,To do,
en:premixed-alcoholic-beverages,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,7311870010970,To do,
en:30-40-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,8719200043572,To do,
en:butter-and-margarine-mix,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,7311870010932,To do,
en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,7310860005941,To do,
en:50-63-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Maybe,Categorize existing one,,To do,
en:margarines,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311870010970,To do,
en:butters,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311870010970,To do,
en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311870010970,To do,
en:30-40-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Yes,Categorize existing one,8719200043572,To do,
en:butter-and-margarine-mix,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311870010932,To do,
en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310860005941,To do,
en:50-63-blended-fat-with-vegetable-and-animal-origins,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:margarines,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7311870010970,To do,
en:chocolate-milks,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7622300247942,To do,
en:teas,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7391835917285,To do,
en:potato-fries,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7316110001916,To do,
