Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:non-alcoholic-beers,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7612900346633,To do,
en:lagers,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,76129810,To do,
en:shandy,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,76162466,To do,
en:wheat-beers,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7640159760016,To do,
en:butters,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7610128737127,To do,
en:camomile-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,70177067762,To do,
en:herbal-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7616800831930,To do,
en:fennel,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,2124238001757,To do,
en:herbal-tea-blends,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3228881084569,To do,
en:fermented-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:fruit-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4099200028057,To do,
en:herbal-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7616800831930,To do,
en:chocolate-milks,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7610900863273,To do,
en:verbena-family,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7616800831930,To do,
en:herbal-tea-blends,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3228881084569,To do,
en:instant-herbal-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:limeflower-tea,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:large-leaved-lime,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:small-leaved-lime,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:Infusiones relajantes,Switzerland,en:switzerland,ch,0,Yes,Categorize existing one,,To do,
en:brewed-infusions-without-sugar,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:herbal-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7616800831930,To do,
en:mint-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7613312342572,To do,
en:rooibos,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7613356484122,To do,
en:teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7616800204086,To do,
en:flavored-teas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,8001620002988,To do,
en:prepared-lasagne,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7610026007698,To do,
en:pasta-dishes,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7613413747023,To do,
en:pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4260414151378,To do,
en:margherita-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4260414151378,To do,
en:frozen-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4001724819806,To do,
en:cheese-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4001724819806,To do,
en:cheese-and-mushrooms-pizza,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7611654693321,To do,
en:frozen-pizzas-and-pies,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7627535126994,To do,
en:goat-cheese-and-bacon-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3242273200054,To do,
en:salted-pies,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,20679583,To do,
en:goat-cheese-and-spinach-tart,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3248830691624,To do,
en:cheese-pies,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3248830085010,To do,
en:Calzone,Switzerland,en:switzerland,ch,0,Yes,Categorize existing one,,To do,
en:Calzones au fromage,Switzerland,en:switzerland,ch,0,Yes,Categorize existing one,,To do,
en:fresh-pizzas-pies-and-quiches,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:maroilles-tarts,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4260414151378,To do,
en:chorizo-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7613356083936,To do,
en:ham-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7610848743354,To do,
en:pizza-with-ham-and-cheese,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7610848743354,To do,
en:lorraine-quiche,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3248830000587,To do,
en:quiches,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3248830000587,To do,
en:frozen-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4001724819806,To do,
en:pepperoni-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7627535126994,To do,
en:flammekueche,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7624841884853,To do,
en:goat-cheese-and-bacon-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3242273200054,To do,
en:salted-pies,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,20679583,To do,
en:kebab-pizzas,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3248830719656,To do,
en:regina-pizza,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4001724015604,To do,
en:cheese-and-onion-pizza-with-lardoons,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7613404378908,To do,
en:chicken-pizza,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,4001724820000,To do,
en:pizza-with-raclette-cheese-and-lardoons,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,3242273050154,To do,
en:fresh-pizzas-pies-and-quiches,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,,To do,
en:Calzone,Switzerland,en:switzerland,ch,0,Yes,Categorize existing one,,To do,
en:Calzones au jambon,Switzerland,en:switzerland,ch,0,Yes,Categorize existing one,,To do,
en:Calzones au poulet,Switzerland,en:switzerland,ch,0,Yes,Categorize existing one,,To do,
