Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:sandwiches,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5022824240061,To do,
en:lagers,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,75041670,To do,
en:stouts,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000213018958,To do,
en:frying-oil,United Kingdom,en:united-kingdom,uk,1,Maybe,Categorize existing one,4056489498759,To do,
en:butters,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5740900404465,To do,
en:margarines,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,8719200269743,To do,
en:butter-and-margarine-mix,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,8719200284418,To do,
en:instant-cocoa-or-chocolate-beverage-with-sugar-fortified-with-vitamins-and-chemical-elements-ready-to-drink-reconstituted-with-standard-semi-skimm,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4088600291697,To do,
en:fermented-teas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4056489965923,To do,
en:fruit-teas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,70177178529,To do,
en:herbal-teas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5065000523145,To do,
en:chocolate-milks,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4056489406679,To do,
en:herbal-teas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5065000523145,To do,
en:decaffeinated-teas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,615357118775,To do,
en:potato-fries,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,2000000148096,To do,
en:hamburgers,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5057753902308,To do,
en:meals-with-meat,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,10001295,To do,
en:ground-beef-steaks,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,1824155,To do,
en:stews,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060430291909,To do,
en:pasta-dishes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,8001665705073,To do,
en:pizzas-pies-and-quiches,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060198643156,To do,
en:frozen-pizzas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4001724042105,To do,
en:pizzas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060198643156,To do,
en:pepperoni-pizzas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5024530005316,To do,
en:flammekueche,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,20169961,To do,
en:kebab-pizzas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5051873005291,To do,
en:fresh-pizzas-pies-and-quiches,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010525425917,To do,
en:salted-pies,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060045388384,To do,
en:quiches,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060136250194,To do,
en:lorraine-quiche,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060136250170,To do,
en:chicken-pizza,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,29408443,To do,
en:chorizo-pizzas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,29408405,To do,
en:ham-pizzas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,256513,To do,
en:pizza-with-ham-and-cheese,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,256568,To do,
en:Calzone,United Kingdom,en:united-kingdom,uk,0,Yes,Categorize existing one,,To do,
en:Calzones au jambon,United Kingdom,en:united-kingdom,uk,0,Yes,Categorize existing one,,To do,
en:Calzones au poulet,United Kingdom,en:united-kingdom,uk,0,Yes,Categorize existing one,,To do,
en:Calzones jambon fromage,United Kingdom,en:united-kingdom,uk,0,Yes,Categorize existing one,,To do,
en:Calzones peperoni,United Kingdom,en:united-kingdom,uk,0,Yes,Categorize existing one,,To do,
en:cheese-and-onion-pizza-with-lardoons,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:pizza-with-raclette-cheese-and-lardoons,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:goat-cheese-and-bacon-pizzas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:regina-pizza,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:meals,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5018095011271,To do,
en:microwave-meals,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5018095196596,To do,
en:prepared-rices,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4088600043340,To do,
en:rice-dishes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5011157888101,To do,
en:ready-to-eat-combination-meals,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5035272609588,To do,
en:pan-fried-meat-and-vegetable-mixes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4904621051181,To do,
en:frozen-ready-made-meals,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5056297000051,To do,
en:rice-in-pots,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010034014152,To do,
en:canned-meals,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060430292760,To do,
en:vegetable-risottos,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5391511421442,To do,
en:meals-with-meat,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,10001295,To do,
en:pan-fried-dishes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,659741,To do,
en:veal-risottos,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:sandwiches,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5022824240061,To do,
en:mini-sausage-rolls,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060136251221,To do,
en:cereal-bars,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060482840179,To do,
en:crisps-made-from-reconstituted-potato,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,51000646,To do,
en:mix-of-salad-leaves,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:vegetable-salads,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5054781557500,To do,
en:canned-soups,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060430292760,To do,
en:canned-pineapples,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,38900014988,To do,
en:raisins,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4088600248899,To do,
en:jams,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,3045320094008,To do,
en:stuffed-olives,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,8410134001217,To do,
en:apple-juices,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5449000227409,To do,
en:orange-juices,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5023762000137,To do,
en:breads,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5025125000006,To do,
en:bread-rolls,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4088600003610,To do,
en:pitas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4088600276267,To do,
en:frozen-pre-baked-pitas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:spanish-omelettes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010292956744,To do,
en:breads,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5025125000006,To do,
en:wholemeal-rolls-for-hamburger,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4088600339351,To do,
en:wholemeal-sliced-breads,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5025125000198,To do,
en:whole-wheat-english-muffins,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010251605508,To do,
en:wholemeal-breads,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,1318180,To do,
en:wholemeal-hot-dog-buns,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:wheat-wholemeal-swedish-toast,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:breads,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5025125000006,To do,
en:wheat-breads,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060198641251,To do,
en:cereal-bars,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060482840179,To do,
en:cornmeal,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5057753440176,To do,
en:instant-porridges-with-milk-powder,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060146370714,To do,
en:corn-flakes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5059319030517,To do,
en:mixed-cereal-flakes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5059319029016,To do,
en:extruded-wheat-flakes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5057753158422,To do,
en:filled-biscuits,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,7622300315283,To do,
en:chocolate-biscuits,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,61232202556,To do,
en:plain-wheat-biscuits,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000168198491,To do,
en:cakes,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,3178530407983,To do,
en:muffins,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,4056489822806,To do,
en:scones,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5052003583214,To do,
en:bakery-products,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5025125000433,To do,
en:sweet-pastries-and-pies,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000436734345,To do,
en:viennoiseries,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000436734345,To do,
en:pastries,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010822115078,To do,
en:waffles,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000168014104,To do,
en:sweet-pastries-and-pies,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000436734345,To do,
en:viennoiseries,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000436734345,To do,
en:croissants,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000436734345,To do,
en:vienna-bread,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5057753940010,To do,
en:milk-bread-rolls,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,3256540031029,To do,
en:pastries,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010822115078,To do,
en:filled-croissants,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000169304136,To do,
en:chocolate-croissant,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5057545890691,To do,
en:brioches,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5027952012986,To do,
en:Gâches,United Kingdom,en:united-kingdom,uk,0,Yes,Categorize existing one,,To do,
en:chocolate-croissant-prepacked,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:fresh-sweet-pastries-and-pies,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:cereal-pastas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000119319906,To do,
en:puff-pastry-sheets,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010084103677,To do,
en:canned-common-beans,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000157024671,To do,
en:peppers,United Kingdom,en:united-kingdom,uk,1,Maybe,Categorize existing one,5000462107601,To do,
en:bacon,United Kingdom,en:united-kingdom,uk,1,Maybe,Categorize existing one,5060055251234,To do,
en:hams,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060055251852,To do,
en:pork-sausages,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060317350033,To do,
en:cheddar-cheese,United Kingdom,en:united-kingdom,uk,1,Maybe,Categorize existing one,5000295142893,To do,
en:mozzarella,United Kingdom,en:united-kingdom,uk,1,Maybe,Categorize existing one,8000430133035,To do,
en:quarks,United Kingdom,en:united-kingdom,uk,1,Maybe,Categorize existing one,3023290018354,To do,
en:ice-creams,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,3415581101928,To do,
en:creamy-puddings,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000354800870,To do,
en:flavoured-yogurts,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5063089246054,To do,
en:plain-cow-milk-yogurts,United Kingdom,en:united-kingdom,uk,1,Maybe,Categorize existing one,,To do,
en:mct-powder,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,,To do,
en:gravy,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000354919527,To do,
en:mayonnaises,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,8718114724485,To do,
en:salad-dressings,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,8722700479475,To do,
en:ketchup,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,50457236,To do,
en:tomato-sauces,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,50457236,To do,
en:curry-powders,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010204914275,To do,
en:mixtures-of-herbs-and-spices,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,6006507005009,To do,
en:bonbons,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5022374051872,To do,
en:gummi-candies,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060384262918,To do,
en:milk-chocolates,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5059697710001,To do,
en:canned-sweet-corn,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010046001003,To do,
en:canned-tomato-purees,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,8005110630408,To do,
en:flavored-waters,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060489730046,To do,
en:colas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5449000000996,To do,
en:colas,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5449000000996,To do,
en:diet-cola-soft-drink,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5449000053879,To do,
en:energy-drinks,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5060335635174,To do,
en:dietary-drink-for-sport,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5054267000681,To do,
en:carbonated-soft-drinks-without-fruit-juice,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000382122296,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5010102117860,To do,
