Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:cooked-meats,Austria,en:austria,at,1,Yes,Categorize existing one,4099200042848,To do,
en:salted-dried-cod,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:sandwiches,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5022824240061,To do,
en:sandwiches,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,2260502003505,To do,
en:ales,Greece,en:greece,el,1,Yes,Categorize existing one,8712000014223,To do,
en:beers,Spain,en:spain,es,1,Yes,Categorize existing one,8411327002745,To do,
en:beers,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8586001761994,To do,
en:beers,Portugal,en:portugal,pt,1,Yes,Categorize existing one,56002621,To do,
en:beers,Latvia,en:latvia,lv,1,Yes,Categorize existing one,4751030990118,To do,
en:beers,Austria,en:austria,at,1,Yes,Categorize existing one,90031977,To do,
en:beers,Bulgaria,en:bulgaria,bg,1,Yes,Categorize existing one,3800052314110,To do,
en:beers,Italy,en:italy,it,1,Yes,Categorize existing one,8001435500013,To do,
en:beers,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,75013769,To do,
en:beers,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8594404110110,To do,
en:beers,France,en:france,fr,1,Yes,Categorize existing one,3080216043807,To do,
en:beers-with-fruits,France,en:france,fr,1,Yes,Categorize existing one,3080216048543,To do,
en:non-alcoholic-beers,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5410263929386,To do,
en:non-alcoholic-beers,Spain,en:spain,es,1,Yes,Categorize existing one,8411327002745,To do,
en:non-alcoholic-beers,Slovakia,en:slovakia,sk,1,Yes,Categorize existing one,8586001763967,To do,
en:non-alcoholic-beers,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5021812005583,To do,
en:non-alcoholic-beers,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7612900346633,To do,
en:non-alcoholic-beers,Germany,en:germany,de,1,Yes,Categorize existing one,4008948194016,To do,
en:non-alcoholic-beers,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8712000058616,To do,
en:non-alcoholic-beers,Belgium,en:belgium,be,1,Yes,Categorize existing one,4101010011508,To do,
en:non-alcoholic-beers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5998818174448,To do,
en:non-alcoholic-beers,Czech Republic,en:czech-republic,cs,1,Yes,Categorize existing one,8594404024158,To do,
en:light-beers,Austria,en:austria,at,1,Yes,Categorize existing one,,To do,
en:light-beers,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:light-beers,Latvia,en:latvia,lv,1,Yes,Categorize existing one,,To do,
en:light-beers,Lithuania,en:lithuania,lt,1,Yes,Categorize existing one,,To do,
en:light-beers,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410228214939,To do,
en:industrial-beer,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5740700992636,To do,
en:industrial-beer,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,7501064191466,To do,
en:industrial-beer,Croatia,en:croatia,hr,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Montenegro,en:montenegro,me,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Romania,en:romania,ro,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Serbia,en:serbia,rs,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Slovenia,en:slovenia,sv,1,Yes,Categorize existing one,,To do,
en:industrial-beer,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:strong-beers,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8710956001328,To do,
en:strong-beers,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5741000011539,To do,
en:strong-beers,Sweden,en:sweden,sv,1,Yes,Categorize existing one,7310401006963,To do,
en:strong-beers,Estonia,en:estonia,ee,1,Yes,Categorize existing one,,To do,
en:strong-beers,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:pure-malt-beers,Germany,en:germany,de,1,Yes,Categorize existing one,,To do,
en:dark-ales,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,54055315,To do,
en:dark-ales,Belgium,en:belgium,be,1,Yes,Categorize existing one,5410228141167,To do,
en:lagers,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,5450154013015,To do,
en:lagers,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411681014005,To do,
en:lagers,Hungary,en:hungary,hu,1,Yes,Categorize existing one,5998817520383,To do,
en:lagers,Poland,en:poland,pl,1,Yes,Categorize existing one,5901359000237,To do,
en:lagers,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,76129810,To do,
en:lagers,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,75041670,To do,
en:lagers,Cyprus,en:cyprus,cy,1,Yes,Categorize existing one,,To do,
en:lagers,Malta,en:malta,mt,1,Yes,Categorize existing one,,To do,
en:beer-based-alcoholic-beverages,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,8712000060671,To do,
en:pale-ales,Germany,en:germany,de,1,Yes,Categorize existing one,4014807221403,To do,
en:pale-ales,Belgium,en:belgium,be,1,Yes,Categorize existing one,5411681401164,To do,
en:pale-ales,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
en:shandy,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,76162466,To do,
en:shandy,Germany,en:germany,de,1,Yes,Categorize existing one,42391913,To do,
en:stouts,United Kingdom,en:united-kingdom,uk,1,Yes,Categorize existing one,5000213018958,To do,
en:stouts,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:wheat-beers,Austria,en:austria,at,1,Yes,Categorize existing one,4072700001126,To do,
en:wheat-beers,Germany,en:germany,de,1,Yes,Categorize existing one,4066600201922,To do,
en:wheat-beers,Netherlands,en:netherlands,nl,1,Yes,Categorize existing one,4066600641964,To do,
en:wheat-beers,Switzerland,en:switzerland,ch,1,Yes,Categorize existing one,7640159760016,To do,
en:rum-based-cocktail,Finland,en:finland,fi,1,Yes,Categorize existing one,,To do,
en:premixed-alcoholic-beverages,Sweden,en:sweden,sv,1,Yes,Categorize existing one,,To do,
en:liqueurs,Norway,en:norway,no,1,Yes,Categorize existing one,,To do,
en:distilled-beverages,Denmark,en:denmark,dk,1,Yes,Categorize existing one,5410316671118,To do,
en:liqueurs,France,en:france,fr,1,Yes,Categorize existing one,8002230350285,To do,
en:fortified-wines,France,en:france,fr,1,Yes,Categorize existing one,3147690087403,To do,
en:madeira-wine,France,en:france,fr,1,Yes,Categorize existing one,3147690034100,To do,
en:white-ports,France,en:france,fr,1,Yes,Categorize existing one,3256223631232,To do,
en:red-ports,France,en:france,fr,1,Yes,Categorize existing one,3270190008972,To do,
en:commandaria,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:commandaria,France,en:france,fr,1,Yes,Categorize existing one,,To do,
hr:vino-marsala,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:sherry,France,en:france,fr,1,Yes,Categorize existing one,,To do,
en:commandaria,Luxembourg,en:luxembourg,lu,1,Yes,Categorize existing one,,To do,
